"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"6-2006",24,8,0,1,9,5,0,1,0,0
"7-2006",19,1,1,1,8,3,1,2,1,1
"8-2006",15,2,3,2,3,0,1,1,0,3
"9-2006",14,3,2,0,2,1,1,3,1,1
"10-2006",17,0,2,2,0,3,0,5,4,1
"11-2006",18,2,1,2,0,5,0,5,2,1
"12-2006",10,2,2,2,1,0,0,2,1,0
"1-2007",11,2,1,0,0,3,1,1,1,2
"2-2007",9,1,0,0,0,1,0,4,3,0
"3-2007",12,4,2,0,1,0,1,3,1,0
"4-2007",9,2,1,0,0,0,0,5,0,1
"5-2007",14,2,1,0,3,3,0,2,2,1
"6-2007",8,0,4,1,0,0,1,1,1,0
"7-2007",11,3,3,1,1,0,1,1,1,0
"8-2007",21,2,1,1,4,1,4,6,0,2
"9-2007",11,2,0,1,4,0,0,3,1,0
"10-2007",7,1,0,2,1,0,0,2,1,0
"11-2007",12,2,0,3,0,0,2,3,1,1
"12-2007",17,6,2,1,1,1,1,3,1,1
"1-2008",15,1,1,3,2,2,2,3,0,1
"2-2008",10,1,0,2,3,0,0,3,0,1
"3-2008",15,1,0,1,5,3,0,2,1,2
"4-2008",22,2,4,1,1,1,4,8,1,0
"5-2008",13,1,1,1,2,2,1,3,0,2
"6-2008",23,3,1,3,2,0,6,1,4,3
"7-2008",13,2,1,3,0,1,0,4,1,1
"8-2008",17,0,1,0,1,4,3,5,1,2
"9-2008",28,1,4,4,1,4,3,6,1,4
"10-2008",53,6,4,1,5,14,13,5,3,2
"11-2008",42,6,3,5,2,7,8,4,3,4
"12-2008",36,1,7,1,2,5,3,3,7,7
"1-2009",24,1,3,2,2,3,3,2,2,6
"2-2009",24,1,3,2,1,8,3,1,3,2
"3-2009",14,3,2,1,1,0,1,3,2,1
"4-2009",19,0,0,1,0,5,6,1,3,3
"5-2009",12,1,3,0,0,2,0,2,4,0
"6-2009",19,1,1,2,3,1,1,7,2,1
"7-2009",17,1,3,4,0,2,2,4,0,1
"8-2009",12,0,2,1,0,4,1,2,2,0
"9-2009",19,2,5,4,3,2,1,1,0,1
"10-2009",20,1,3,3,6,2,0,3,1,1
"11-2009",16,1,2,4,0,0,1,6,1,1
"12-2009",23,0,3,2,3,3,2,5,1,4
"1-2010",15,0,1,2,2,3,1,0,3,3
"2-2010",15,5,1,1,1,2,2,1,1,1
"3-2010",13,1,3,1,1,1,2,0,2,2
"4-2010",17,3,2,3,1,4,1,2,0,1
"5-2010",24,2,0,5,0,2,2,7,2,4
"6-2010",23,1,5,4,5,1,4,1,1,1
"7-2010",13,1,2,3,0,1,2,0,2,2
"8-2010",9,1,1,1,0,3,1,0,1,1
"9-2010",15,3,2,1,2,1,2,1,3,0
"10-2010",22,3,3,5,0,2,1,7,0,1
"11-2010",21,0,1,5,4,3,0,6,0,2
"12-2010",17,1,4,2,0,5,1,2,2,0
"1-2011",11,3,1,3,0,0,2,0,0,2
"2-2011",19,5,0,4,2,1,1,3,2,1
"3-2011",33,2,8,6,2,7,4,3,0,1
"4-2011",20,3,5,1,1,4,2,2,1,1
"5-2011",20,1,2,3,5,4,2,1,1,1
"6-2011",42,7,6,3,5,4,2,11,2,2
"7-2011",54,1,9,4,6,17,6,8,1,2
"8-2011",67,3,5,12,16,15,6,5,1,4
"9-2011",50,1,7,12,15,4,6,1,2,2
"10-2011",47,1,14,9,4,9,4,3,1,2
"11-2011",54,4,5,16,4,6,3,11,5,0
"12-2011",53,2,10,7,4,9,2,6,5,8
"1-2012",33,1,6,7,3,3,3,3,2,5
"2-2012",33,2,5,4,3,3,5,9,1,1
"3-2012",29,4,6,7,1,3,4,2,2,0
"4-2012",39,0,5,4,3,10,1,3,10,3
"5-2012",43,8,3,11,5,5,5,3,3,0
"6-2012",72,2,12,9,11,7,3,13,11,4
"7-2012",47,4,10,7,8,3,2,8,4,1
"8-2012",49,3,10,5,7,9,1,5,7,2
"9-2012",38,4,4,4,9,3,0,5,3,6
"10-2012",47,5,5,3,5,6,2,13,5,3
"11-2012",39,4,5,11,1,2,0,5,4,7
"12-2012",41,6,7,2,1,4,5,9,5,2
"1-2013",52,5,5,11,3,5,2,11,7,3
"2-2013",22,4,3,2,2,0,1,10,0,0
"3-2013",31,2,4,0,3,4,4,10,1,3
"4-2013",24,1,6,5,0,2,0,3,1,6
"5-2013",29,5,4,8,4,1,1,3,3,0
"6-2013",27,1,1,2,14,2,0,4,2,1
"7-2013",33,3,6,3,7,1,4,3,3,3
"8-2013",23,1,5,3,2,1,2,2,2,5
"9-2013",26,1,2,6,10,1,1,1,2,2
"10-2013",33,5,2,4,7,3,2,5,3,2
"11-2013",33,2,4,1,4,2,4,6,8,2
"12-2013",32,5,5,4,2,1,1,7,2,5
"1-2014",28,1,2,5,7,0,3,2,7,1
"2-2014",22,0,3,5,2,2,1,4,5,0
"3-2014",22,2,5,3,3,3,1,3,1,1
"4-2014",30,1,2,8,3,2,3,5,4,2
"5-2014",21,0,2,1,1,3,4,6,2,2
"6-2014",29,4,7,1,3,4,4,5,1,0
"7-2014",26,1,4,1,3,4,4,5,3,1
"8-2014",32,3,5,2,7,4,3,7,1,0
"9-2014",37,2,6,3,3,2,3,14,1,3
"10-2014",29,3,4,1,5,2,1,9,3,1
"11-2014",33,3,3,2,1,4,5,11,3,1
"12-2014",37,2,2,4,6,2,9,5,5,2
"1-2015",36,3,9,5,4,0,3,5,2,5
"2-2015",29,3,6,5,2,1,3,2,2,5
"3-2015",36,5,7,1,6,2,5,2,2,6
"4-2015",34,2,2,1,5,3,7,7,4,3
"5-2015",21,2,2,3,3,3,0,5,2,1
"6-2015",33,5,4,3,5,2,3,3,3,5
"7-2015",37,7,4,1,7,3,2,7,3,3
"8-2015",38,7,6,2,5,4,2,4,3,5
"9-2015",54,10,11,4,9,3,4,7,2,4
"10-2015",37,4,9,2,7,3,1,4,4,3
"11-2015",26,4,3,2,5,2,0,6,2,2
"12-2015",43,1,12,4,7,0,2,10,7,0
"1-2016",25,2,2,6,6,0,3,5,1,0
"2-2016",35,1,9,2,5,3,3,4,5,3
"3-2016",27,2,2,2,6,3,2,6,2,2
"4-2016",29,5,3,6,3,1,2,6,3,0
"5-2016",28,3,3,2,2,1,3,6,6,2
"6-2016",49,7,6,12,1,2,4,7,1,9
"7-2016",48,3,7,15,4,3,3,4,4,5
"8-2016",36,7,3,3,10,1,2,4,2,4
"9-2016",32,6,3,2,5,0,0,6,3,7
"10-2016",33,4,2,6,1,2,4,7,5,2
"11-2016",39,3,4,11,6,1,3,4,0,7
"12-2016",57,6,6,7,4,1,4,11,3,15
"1-2017",58,6,6,7,7,2,4,14,3,9
"2-2017",44,1,3,4,6,3,1,6,8,12
"3-2017",32,6,5,1,4,2,3,6,3,2
"4-2017",22,2,2,3,1,0,1,6,3,4
"5-2017",48,11,4,5,2,1,1,12,5,7
"6-2017",32,6,6,3,1,6,0,5,2,3
"7-2017",29,7,1,4,3,2,3,3,3,3
"8-2017",30,6,5,1,2,1,1,10,1,3
"9-2017",38,3,4,5,4,2,0,11,2,7
"10-2017",26,2,2,3,2,1,0,9,1,6
"11-2017",25,5,1,2,3,2,0,4,1,7
"12-2017",34,4,0,2,2,0,3,12,2,9
"1-2018",39,0,3,6,3,1,3,10,2,11
"2-2018",24,3,1,3,7,2,0,1,2,5
"3-2018",27,2,7,3,2,1,0,4,0,8
"4-2018",16,4,2,2,2,2,1,1,0,2
"5-2018",42,1,3,7,10,3,2,7,1,8
"6-2018",34,3,3,2,8,3,1,7,2,5
"7-2018",42,4,7,3,4,0,4,8,5,7
"8-2018",24,0,4,5,4,0,1,6,4,0
"9-2018",35,0,8,6,5,4,1,11,0,0
