"newspaper","date","epu_news_std","eu_news_std","pol_impositiva_std","pol_gasto_gub_std","pol_fiscal_std","pol_monetaria_std","pol_salud_std","pol_seguridad_nacional_std","pol_regulacion_financiera_std","pol_regulacion_std","pol_deuda_crisis_std","pol_prog_derechos_std","pol_comercial_std"
"busqueda","09-2016",4.203913371219984,4.7719837860190415,1.4088848138930932,1.3511586135609521,1.8736944651852456,1.9738129218952483,2.132536523349909,0.7010171909417217,0.7107110165492542,1.2463850702148653,1.1351074234463643,3.0500181279381504,2.2822100966392878
"busqueda","10-2016",4.332277138280136,5.163577875329764,0.9679361316822777,0.9282769100800434,0.38618130198474526,1.3560546791646744,0.7325507141278313,1.4448445920172888,0.0,1.284442629610739,0.3899223973670716,2.8812194147507335,1.7639219258376173
"busqueda","11-2016",5.051529031593673,5.721671348697173,2.9197283972126598,1.6000562529011273,0.9984819189474006,3.506115058629717,0.6313430496759599,0.0,0.6312236002246665,1.660480109990199,2.3523607788526624,4.51482946569792,2.5337036434728932
"busqueda","12-2016",3.3384017947923406,4.212193380351423,1.4630726913505196,1.4031262525440658,1.9457596369231398,2.049728803506604,0.7381857196211224,1.4559587811866526,0.7380460556473024,0.0,2.3575308025424486,2.375494888105675,2.962484260060614
"busqueda","01-2017",6.866216457374318,7.3102730339015105,5.395729074484186,4.743429175267172,6.099473471773246,6.299402942218878,0.6805967627712476,0.6711866721782441,0.0,1.1933474076525306,3.9849515929500017,6.083812755195779,2.1850947733780415
"busqueda","02-2017",5.998690725017487,5.787894396714502,2.4765553369214524,3.3251169005601557,2.7666269837500894,3.8165523294458903,0.7497198714902025,1.478708137142694,1.499156050533583,1.9718201306133611,3.192489628442899,5.0932919909904655,3.008773076624061
"busqueda","03-2017",5.500775684601016,5.673509131957299,2.8818098465995083,2.763733527738311,3.161859410000102,3.532676536346609,1.6357524468877143,2.6885602493503526,2.7257382736974236,1.4340510040824443,3.7729422881597903,2.7294196315355608,2.188198601181135
"busqueda","04-2017",6.789969752120015,7.37028851696585,1.6118597447081997,1.0305447052583532,1.714906798644123,2.634538433885607,1.6265109076397612,0.0,0.0,4.277847063025598,1.2986398488581286,6.106498158689729,3.916504614995388
"busqueda","05-2017",5.384519023858614,5.368481759271422,2.386014604173787,1.961359277749769,2.1759032498925435,3.342747690306469,1.5478087669475147,2.035211199508224,1.5475159231314404,1.8092686503119015,1.373113818685118,4.427445669587637,1.6564428120769026
"busqueda","06-2017",5.216252804363032,5.787894396714502,3.4671774716900337,4.750167000800222,4.7427891150001535,5.204389540153486,1.499439742980405,0.739354068571347,1.499156050533583,1.9718201306133611,2.3943672213321743,4.825223991464652,0.6017546153248122
"busqueda","07-2017",3.120001677376019,3.010363603329769,1.1850433014054051,0.5682442767312414,0.472801407102819,2.075270595450611,0.8968611546798683,0.884460941842359,0.0,0.0,1.432144880049151,0.9620384282047904,0.7198559884259434
"busqueda","08-2017",3.487882472171102,3.6056967039882686,0.946265919778943,1.3612418867964815,1.132606355820932,1.988542869073571,0.0,1.4124973250318271,0.0,0.6278432256679359,1.9059639572793425,3.0727794572511216,1.149620757635462
"busqueda","09-2017",5.288557298680936,5.7405547524882525,2.510883826740166,3.01000681238826,2.504443097029784,4.836818793753207,0.0,0.9370031760112121,3.799841078580171,0.8329801211832021,3.540186518669354,4.076756903679706,1.525239421021306
"busqueda","10-2017",6.449185285394294,6.9546240972379785,0.7204524616498771,1.3818667638691555,1.7246505872727829,4.542012689588498,1.0905016312584763,2.1508481994802824,1.0902953094789696,1.9120680054432595,1.7413579791506721,4.679005082632389,1.7505588809449082
"busqueda","11-2017",3.6148299688834262,3.898133251955045,0.8076409761170598,2.3236485710920833,1.2889108422930353,2.2629702289244884,1.8337097493773102,0.6027854826568944,1.2222418755942588,2.67933096304151,1.6267463074868276,3.0597315614666156,0.49060248892723546
"busqueda","12-2017",5.354040614289603,6.077526519929912,1.7943344327883732,4.015235502563207,2.863570786415187,4.608666963859188,4.5266105448465055,1.7856098259836304,0.9051508229636728,0.0,0.9637704538695544,4.531866558021308,2.9065883306255076
"busqueda","01-2018",4.769145421131915,4.601555793661218,2.131086273115603,4.0875386628734685,1.700495817142912,3.731999222070848,0.806421374376016,0.7952716031691799,2.418806400860907,0.0,3.0046961208874343,3.74844664883155,2.5890618743386877
"busqueda","02-2018",3.2658278427316376,3.5011837560465793,2.7565137663125734,2.643571200445341,1.099777186086992,2.896355917998462,0.0,1.028666530186222,0.0,0.0,1.6656467626658604,2.2377850395198386,0.0
"busqueda","03-2018",5.564002991320567,5.368481759271422,0.0,2.17150491465153,1.2045178704762294,4.22959911834696,1.1424302803660227,1.1266347711563383,0.0,2.0031188628453194,3.040466312802761,4.084845707060023,0.9169594138282852
"busqueda","04-2018",5.7143814505454475,5.513575860873352,1.7135085574375457,2.1910680219907332,3.1903446299100127,3.6008749250791694,1.7290836675810073,3.4103539018786457,0.8643782633707146,0.0,2.761072111085751,4.018604965864455,0.6939152320862699
