"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"2-2012",33,3,8,0,3,4,5,1,1,8
"3-2012",29,2,3,1,8,3,1,2,3,6
"4-2012",39,0,4,4,10,4,2,9,2,4
"5-2012",43,2,5,5,14,3,1,7,2,4
"6-2012",72,1,12,8,14,6,6,7,7,11
"7-2012",47,2,19,3,6,4,3,3,4,3
"8-2012",49,3,13,9,5,2,2,5,3,7
"9-2012",38,0,5,5,4,3,5,8,2,6
"10-2012",47,2,4,3,7,9,5,4,7,6
"11-2012",39,2,6,3,7,4,4,3,7,3
"12-2012",41,3,9,1,2,3,3,6,6,8
"1-2013",52,2,3,4,10,3,8,7,8,7
"2-2013",22,0,4,2,2,6,2,1,3,2
"3-2013",31,1,7,2,1,0,4,3,8,5
"4-2013",24,4,3,0,2,0,7,1,2,5
"5-2013",29,1,9,3,4,2,1,3,2,4
"6-2013",27,2,9,6,1,1,1,3,4,0
"7-2013",33,0,9,4,3,5,0,4,2,6
"8-2013",23,1,7,1,2,2,1,5,2,2
"9-2013",26,1,3,8,5,1,0,2,5,1
"10-2013",33,4,6,5,6,0,6,3,1,2
"11-2013",33,2,5,2,1,3,1,11,4,4
"12-2013",32,1,8,1,3,3,4,3,7,2
"1-2014",28,0,4,5,4,2,0,4,2,7
"2-2014",22,0,2,4,3,2,3,4,2,2
"3-2014",22,2,8,2,2,0,1,2,4,1
"4-2014",30,0,6,2,6,4,1,7,3,1
"5-2014",21,1,0,1,1,2,5,6,1,4
"6-2014",29,4,6,3,1,1,5,7,0,2
"7-2014",26,4,4,3,0,1,3,5,3,3
"8-2014",32,6,4,5,2,3,2,1,2,7
"9-2014",37,1,6,2,2,5,9,3,3,6
"10-2014",29,2,4,5,2,2,7,0,3,4
"11-2014",33,1,5,2,2,8,5,7,0,3
"12-2014",37,3,2,6,5,2,3,3,2,11
"1-2015",36,0,11,3,4,1,5,4,2,6
"2-2015",29,1,5,3,3,1,4,4,2,6
"3-2015",36,2,7,6,0,1,2,5,7,6
"4-2015",34,2,3,6,1,3,5,6,1,7
"5-2015",21,1,2,3,5,2,5,2,1,0
"6-2015",33,3,6,4,2,1,2,9,3,3
"7-2015",37,2,7,5,5,5,3,5,3,2
"8-2015",38,1,6,4,3,10,3,5,2,4
"9-2015",54,1,12,8,6,5,3,8,5,6
"10-2015",37,0,8,6,4,1,3,5,4,6
"11-2015",26,1,5,3,0,2,4,6,2,3
"12-2015",43,2,14,5,2,2,3,6,4,5
"1-2016",25,0,3,3,6,1,4,1,1,6
"2-2016",35,1,6,5,4,1,4,5,1,8
"3-2016",27,3,2,5,5,1,4,3,1,3
"4-2016",29,2,5,3,5,2,2,5,4,1
"5-2016",28,1,3,2,1,3,2,9,4,3
"6-2016",49,2,4,1,9,4,10,4,7,8
"7-2016",48,2,7,7,13,1,5,6,5,2
"8-2016",36,3,4,8,3,3,3,1,7,4
"9-2016",32,2,3,3,2,1,6,5,7,3
"10-2016",33,6,1,0,4,2,6,11,1,2
"11-2016",39,4,4,5,4,1,11,4,4,2
"12-2016",57,1,10,3,6,5,15,5,8,4
"1-2017",58,2,5,3,3,12,8,6,8,11
"2-2017",44,1,3,5,4,4,8,10,6,3
"3-2017",32,2,6,2,0,5,3,7,3,4
"4-2017",22,1,2,1,1,2,6,3,4,2
"5-2017",48,4,6,2,4,7,7,11,6,1
"6-2017",32,0,7,5,2,9,3,2,3,1
"7-2017",29,3,1,4,0,3,5,5,6,2
"8-2017",30,2,5,3,1,7,3,2,6,1
"9-2017",38,1,5,3,1,1,9,8,9,1
"10-2017",26,2,2,1,2,5,3,5,5,1
"11-2017",25,1,3,1,1,0,5,5,8,1
"12-2017",34,0,0,2,2,5,12,6,5,2
"1-2018",39,0,4,2,3,0,15,4,7,4
"2-2018",24,0,4,5,3,0,5,4,2,1
"3-2018",27,1,6,2,1,0,9,1,5,2
"4-2018",16,2,1,2,2,1,2,2,1,3
"5-2018",42,1,10,9,1,5,8,2,5,1
"6-2018",34,3,4,5,1,2,7,4,4,4
"7-2018",42,2,4,3,2,0,13,9,3,6
"8-2018",24,1,2,2,2,1,4,3,3,6
"9-2018",35,0,8,6,2,3,8,1,2,5
