"newspaper","date","epu_news_avg","eu_news_avg","pol_impositiva_avg","pol_gasto_gub_avg","pol_fiscal_avg","pol_monetaria_avg","pol_salud_avg","pol_reg_financiera_avg","pol_regulacion_avg","pol_deuda_crisis_avg","pol_prog_derechos_avg","pol_comercial_avg","otras_politicas_avg","autoridades_intls_avg"
"Promedio","09-2009",1.8510046328960217,1.8660047679982787,0.8483491957464415,1.629116299002938,1.0042211128892773,1.0745701392045874,1.5640903683685532,0.6081627693235433,0.0,1.2576701986267986,1.5913981168427096,0.0,1.6253179341156159,1.4984223503690133
"Promedio","10-2009",1.68351415025765,1.909301601674349,0.3857926258035086,1.4817036613764563,0.9133529022515159,1.5637380934826672,0.0,1.1062647922325088,0.7932418852943572,1.470687851115445,1.2865764056673408,0.0,1.6126352687062184,0.817701431452959
"Promedio","11-2009",1.4918473137244979,1.4099408594772986,2.366795227043574,1.5150147683334714,0.31129552007851785,0.5995850504355558,0.0,0.0,0.8110752523653934,0.8354173915280848,1.6443759183977849,0.3785050514724615,1.5114824367845607,1.3934744814715727
"Promedio","12-2009",1.966178254498441,2.0768450126176923,1.1926791634317617,1.017931491403143,0.31373705356932974,1.208575356564218,0.0,0.0,0.0,1.3471514956719546,1.4915456859819907,0.0,1.6618224010850573,0.8426422158545744
"Promedio","01-2010",1.3523736488791962,1.3943178286119609,0.42260285318448254,1.0820531601529473,0.6670000351473939,0.8564707251242492,0.0,0.6059092713362397,0.8689286978791825,0.8950071452544974,1.2331676931347166,0.0,1.4720867726147162,0.895722040475335
"Promedio","02-2010",1.0308119004166583,1.3395491145511915,0.8858248155585415,0.567027372031605,0.34952744560272414,0.673223408571573,0.0,0.0,0.0,0.3752078498261087,0.9231654124403097,0.8499827029667995,1.0799828832294274,0.0
"Promedio","03-2010",0.8888541292835145,0.9450603365340802,1.1457508079011693,0.0,0.0,0.967517944507772,0.0,0.0,1.570545884237049,0.4853044185695588,0.6368257010052869,0.0,0.6651811096850506,0.26982892219704874
"Promedio","04-2010",1.1902872841134058,1.4624184789107588,0.40914778476470753,1.047602140255701,0.9686455667375944,0.8292019262525803,0.0,0.5866179896031128,0.0,0.6932091216518242,0.8527895738237838,1.1777787229450272,1.1401741137489407,0.57813569069843
"Promedio","05-2010",2.261545839815471,2.137380853792647,2.4548867085882455,1.047602140255701,0.6457637111583963,1.6584038525051605,0.0,1.1732359792062257,0.0,1.0398136824777364,2.7289266362361086,1.5703716305933695,2.422869991716499,1.15627138139686
"Promedio","06-2010",1.5167660820416544,1.5358837714149098,1.117223951051385,0.47676587199392106,0.2938883828333109,0.7547429777727568,0.0,0.5339420884958946,0.7657212484576144,1.2619235439049534,1.2419400813890862,0.7146793339231049,1.556686698159268,0.263110732705612
"Promedio","07-2010",1.1115329328194703,1.1555574438758187,1.1462306030468565,0.9782884308082969,0.6030373014586363,0.7743384822207932,0.0,0.5478049065389203,0.0,0.971015289750985,0.9556385676517779,0.7332346600132358,0.9316435257339282,0.8098257476491827
"Promedio","08-2010",0.44855777669165947,0.6358961115279306,0.0,0.0,0.0,0.39060420269185764,0.0,0.0,0.0,0.32654337585204224,0.3213723277781222,0.3698699552411506,0.5370908900845243,0.27233683782372176
"Promedio","09-2010",1.1657183327065854,1.4322324145678489,1.6028099429517748,1.0259783806632468,0.632434376760309,0.20302155199201297,0.0,0.0,0.0,0.5091753429787773,1.3362991653066583,0.38448932106095896,1.2562195027965106,0.8493034191419624
"Promedio","10-2010",1.5286206914858302,1.7542728391452351,0.7506372357262837,0.0,0.2961853302927239,0.3803209164013275,0.0,0.0,0.0,0.9538397827747231,1.2516467294953768,0.7202650629829729,1.4381155394005305,1.5910027851799657
