"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news","epu_cat14_news"
"el_pais","03-2004",155,3,2,0,0,0,0,0,0,1,3,2,2,2,1
"el_pais","04-2004",352,1,1,0,0,0,0,1,0,0,1,1,1,1,0
"el_pais","05-2004",298,2,0,0,0,0,0,0,0,0,2,2,2,2,0
"el_pais","06-2004",268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","07-2004",330,4,1,0,1,0,0,1,0,0,4,2,3,4,1
"el_pais","08-2004",264,3,0,0,0,0,0,2,0,0,3,3,1,3,1
"el_pais","09-2004",257,3,0,1,0,0,0,0,0,0,3,1,2,2,0
"el_pais","10-2004",366,7,1,0,0,1,1,0,0,1,7,2,2,4,1
"el_pais","11-2004",423,4,0,0,0,1,0,0,0,0,4,3,2,4,2
"el_pais","12-2004",530,20,9,1,3,9,3,1,2,0,20,19,12,16,7
"el_pais","01-2005",354,9,0,1,0,3,1,4,0,1,9,7,5,8,4
"el_pais","02-2005",383,7,1,0,0,1,1,2,0,0,7,5,2,6,2
"el_pais","03-2005",327,2,1,0,0,0,0,1,0,1,2,2,1,2,1
"el_pais","04-2005",366,5,1,1,1,5,0,0,0,0,5,5,2,5,2
"el_pais","05-2005",276,3,0,0,0,2,0,1,0,1,3,2,3,2,0
"el_pais","06-2005",300,5,2,0,0,3,1,1,0,0,5,3,4,3,0
"el_pais","07-2005",409,6,0,0,0,2,1,0,0,0,6,3,5,5,0
"el_pais","08-2005",365,8,0,1,0,5,0,1,0,0,8,2,3,5,1
"el_pais","09-2005",375,8,2,1,1,3,2,3,0,1,8,7,3,8,3
"el_pais","10-2005",414,9,2,0,1,4,2,1,0,1,9,8,5,9,1
"el_pais","11-2005",398,10,2,1,0,1,0,1,1,1,10,9,3,10,3
"el_pais","12-2005",547,15,3,0,1,3,0,3,0,3,15,14,9,14,4
"el_pais","01-2006",365,2,0,1,0,1,0,0,0,0,2,2,1,2,0
"el_pais","02-2006",387,5,0,0,0,2,0,2,0,0,5,1,2,5,2
"el_pais","03-2006",387,5,1,0,0,1,0,0,0,0,5,3,4,5,0
"el_pais","04-2006",276,2,0,0,0,0,0,0,0,0,2,1,1,1,0
