"newspaper","date","epu_news_rel","pol_impositiva_rel","pol_gasto_gub_rel","pol_fiscal_rel","pol_monetaria_rel","pol_salud_rel","pol_reg_financiera_rel","pol_regulacion_rel","pol_deuda_crisis_rel","pol_prog_derechos_rel","pol_comercial_rel","otras_politicas_rel","autoridades_intls_rel"
"el_observador","08-2011",0.34203655352480417,0.2898172323759791,0.03655352480417755,0.0731070496083551,0.16971279373368145,0.013054830287206266,0.02610966057441253,0.0,0.34203655352480417,0.21671018276762402,0.10443864229765012,0.26631853785900783,0.05221932114882506
"el_observador","09-2011",0.29365079365079366,0.2671957671957672,0.03439153439153439,0.05291005291005291,0.1746031746031746,0.010582010582010581,0.042328042328042326,0.010582010582010581,0.29365079365079366,0.17195767195767195,0.10317460317460317,0.2222222222222222,0.05291005291005291
"el_observador","10-2011",0.3082901554404145,0.27202072538860106,0.023316062176165803,0.04145077720207254,0.12435233160621761,0.0,0.046632124352331605,0.007772020725388601,0.3082901554404145,0.17098445595854922,0.13730569948186527,0.23056994818652848,0.08031088082901554
"el_observador","11-2011",0.30637254901960786,0.23774509803921567,0.012254901960784314,0.03431372549019608,0.1323529411764706,0.00980392156862745,0.04411764705882353,0.024509803921568627,0.30637254901960786,0.17401960784313725,0.13480392156862744,0.24019607843137256,0.06862745098039216
"el_observador","12-2011",0.2780487804878049,0.23902439024390243,0.014634146341463415,0.03902439024390244,0.12926829268292683,0.01707317073170732,0.03414634146341464,0.004878048780487805,0.2780487804878049,0.17560975609756097,0.0951219512195122,0.2121951219512195,0.06341463414634146
"el_observador","01-2012",0.25252525252525254,0.22895622895622897,0.013468013468013467,0.03367003367003367,0.08754208754208755,0.010101010101010102,0.013468013468013467,0.016835016835016835,0.25252525252525254,0.13468013468013468,0.07407407407407407,0.17845117845117844,0.03367003367003367
"el_observador","02-2012",0.21316614420062696,0.15987460815047022,0.02821316614420063,0.03134796238244514,0.07836990595611286,0.01567398119122257,0.034482758620689655,0.006269592476489028,0.21316614420062696,0.11598746081504702,0.06583072100313479,0.15047021943573669,0.0438871473354232
"el_observador","03-2012",0.20843672456575682,0.19602977667493796,0.02481389578163772,0.03970223325062035,0.10669975186104218,0.0024813895781637717,0.022332506203473945,0.009925558312655087,0.20843672456575682,0.12903225806451613,0.07196029776674938,0.15632754342431762,0.04962779156327544
"el_observador","04-2012",0.22647058823529412,0.20294117647058824,0.03235294117647059,0.05,0.10588235294117647,0.011764705882352941,0.041176470588235294,0.008823529411764706,0.22647058823529412,0.15294117647058825,0.10294117647058823,0.17941176470588235,0.06764705882352941
"el_observador","05-2012",0.25892857142857145,0.23214285714285715,0.03273809523809524,0.05654761904761905,0.09523809523809523,0.011904761904761904,0.03571428571428571,0.011904761904761904,0.25892857142857145,0.18154761904761904,0.09821428571428571,0.21428571428571427,0.06547619047619048
"el_observador","06-2012",0.27297297297297296,0.24054054054054055,0.03513513513513514,0.06486486486486487,0.14324324324324325,0.002702702702702703,0.07567567567567568,0.013513513513513514,0.27297297297297296,0.1864864864864865,0.10270270270270271,0.21891891891891893,0.07297297297297298
