"newspaper","date","epu_uruguay","eu_uruguay","pol_impositiva","pol_gasto_gub","pol_fiscal","pol_monetaria","pol_salud","pol_reg_financiera","pol_regulacion","pol_deuda_crisis","pol_prog_derechos","pol_comercial","otras_politicas","autoridades_intls"
"EPU Final","03-2003",171.14237228839195,175.33001222761197,91.11898697354611,159.7618775931773,180.40205665281144,178.10658131431748,0.0,133.07521215499273,0.0,214.05242663538982,134.5138756155221,39.54410449355244,137.57291444150255,212.9220573845442
"EPU Final","04-2003",108.63767230966559,106.43858403025314,0.0,55.67803699904473,157.1781788049033,53.20395743386439,0.0,0.0,114.23424815927578,125.8852064538677,103.13368272655252,124.03236188944969,83.27296647896594,166.9605748694594
"EPU Final","05-2003",102.10198346750656,94.47768254200498,0.0,0.0,59.08890893039947,75.00477689038769,0.0,65.38120383283399,0.0,118.31189857896923,61.68216488786642,116.57052193620738,78.26322919079286,130.76346271527404
"EPU Final","06-2003",35.48256731297288,38.30512447073831,0.0,0.0,29.090722167577102,49.235255036428256,0.0,0.0,0.0,64.71939457149992,34.70564232642694,0.0,28.02228829297366,0.0
"EPU Final","07-2003",65.65636846537622,60.75358505358336,59.32015538136085,52.003976984493065,29.361273613776888,74.53973398672719,267.09072601484854,64.97582878692626,106.69620432591347,39.19278128302435,78.81393154975011,38.61592134999253,63.63653179552511,51.981082432785634
"EPU Final","08-2003",101.69411935245661,94.10027502186382,29.725901209745405,104.23877499421691,147.13217003974304,87.15601682158677,0.0,65.12002725294252,0.0,117.839281141237,114.09499170051608,77.40324048671383,99.20984579179067,156.2893264090945
"EPU Final","09-2003",67.35669241018606,62.32694005042764,60.856388392145746,0.0,30.12165189455166,25.49003776193094,0.0,0.0,0.0,67.0129487634931,71.87111209625351,0.0,65.28454738495942,106.65450625463876
"EPU Final","10-2003",48.15529010347785,50.12929292536933,0.0,104.89055831262648,29.610431362174275,50.114848694962035,0.0,65.52720920092874,0.0,52.70049137237992,61.819909784891586,0.0,49.91509213240384,26.211095161507362
"EPU Final","11-2003",66.25544523249914,61.30792672942889,82.30944951932372,0.0,27.160080221183208,22.98384805981565,247.06712795638182,0.0,98.69726725436813,48.33936918589047,72.90530825044479,214.32548236366196,65.40638572274372,144.25229512482179
"EPU Final","12-2003",70.34777808287534,75.94378309596574,87.39337376105662,51.07654633796666,57.67529866890666,97.61387231667682,262.3274725278504,127.63412040093908,104.79340120396371,102.65019589626677,68.80744572590432,113.78175346883401,76.39090313359685,51.054060084049574
"EPU Final","01-2004",55.190261333787326,56.17591934930026,0.0,48.085577408265905,81.4468744716317,68.92330849386978,0.0,60.0800251436853,0.0,96.63914838882772,64.7781808860991,35.706285998477945,58.84164160290568,0.0
"EPU Final","02-2004",106.07534443322938,103.60735803032291,146.41988505805946,51.34454745561231,144.94480940076127,73.59454278182335,0.0,128.30382282543025,105.34325726624951,103.18880645628217,103.75272259981679,0.0,118.67812804270643,153.96582964568864
"EPU Final","03-2004",90.95547872214557,84.16352505925335,0.0,0.0,105.27630936071172,100.22472370505956,239.41677623720844,0.0,95.64113909008043,117.10639160654887,54.94830409224781,34.614827474506995,88.73353813771513,139.7855706231401
"EPU Final","04-2004",60.85881773186351,76.79220502182672,54.985595587484724,48.204014791044884,27.21582751227759,80.6085820603592,0.0,0.0,0.0,72.65788188593513,64.93773305576929,0.0,58.98657175463698,120.45698289535096
"EPU Final","05-2004",77.90440357058304,77.23609059998756,110.60686280025828,193.93060285877016,82.11943330294163,69.49245224691576,0.0,0.0,198.94304654658347,73.07786964250121,65.31309567458877,108.00340678152328,59.32753459714933,72.69195962008462
"EPU Final","06-2004",90.73934689151871,83.96353252445908,132.61872361496316,46.50494258652885,26.25653695837949,77.76732906892474,477.6957301715074,58.105117386486924,0.0,105.1453070935473,78.31104837814556,34.532574419122035,75.87658814220234,23.242234481827715
"EPU Final","07-2004",79.77976608747554,83.66531950444325,26.42954042050371,92.67954225018575,78.48984509065693,77.49112308564918,0.0,57.89874561992086,95.07499185789763,58.20659046110825,70.22962014180575,34.40992518085364,88.20828041393227,46.3193702183228
"EPU Final","08-2004",82.683814832582,86.71080557229415,109.56638924426404,96.05315339957902,135.5782327605485,126.20435669818202,0.0,0.0,98.53579933247958,96.52057274663284,88.96071037640051,0.0,91.41913397501203,72.00814977498771
"EPU Final","09-2004",59.610808200570766,55.159467250096995,53.85802607604053,94.4310253566428,26.657722484884683,67.67620399759952,242.4973298518408,58.99293180574165,0.0,71.1679132585999,71.55683853612214,0.0,64.19661743032465,23.597363114843176
"EPU Final","10-2004",87.34916160925837,99.84450476799,102.13107956623165,0.0,50.55109097972414,117.6399741239249,0.0,0.0,275.5471170811047,67.4779261433999,90.46224803117842,33.24237529862109,91.30212783981172,22.373862777969876
"EPU Final","11-2004",104.34872637999447,101.63858268577553,54.58227826043716,47.85044011042597,81.04860124683155,91.44836693400163,0.0,59.78623528968194,490.87210547659447,84.14576215151901,96.69212574807702,71.06336626591941,97.5898456902307,215.23218361839236
"EPU Final","12-2004",51.2018389022363,63.17123222732625,0.0,0.0,0.0,23.682386287045166,0.0,0.0,0.0,37.35639516127859,41.73393777011767,73.61312824675655,53.915403140301365,74.3182466018763
"EPU Final","01-2005",71.92405731947507,66.55324435224983,82.4783933812271,144.61204437313467,81.64748253683277,57.57755861454228,0.0,120.4560110023641,98.89984785218087,48.438587923956746,73.05494968774046,71.58846503143113,72.09469881122297,0.0
"EPU Final","02-2005",59.529424989888994,60.59257731934242,88.74441973351114,103.73231451500472,58.56692210239241,49.561460348065374,0.0,64.80363136081249,0.0,65.14818914684112,78.60506070642037,0.0,70.51987082562607,25.921661690200963
"EPU Final","03-2005",50.77319228103717,57.422182943068755,0.0,0.0,27.75125819167359,23.484124367521975,0.0,0.0,100.84555436078385,12.347886163955488,57.93837505582765,0.0,46.7810344430524,0.0
"EPU Final","04-2005",71.28031067137562,65.9575684467374,54.493454373927094,47.772571208700306,80.91670767279277,68.4746620594101,0.0,59.6889427993814,196.02931600318357,72.007567239275,80.44564570985253,70.94772205718724,84.440229379163,95.50307903436125
"EPU Final","05-2005",111.47611098189302,103.15181220467045,83.09237645850669,0.0,82.25528017358339,150.8160567580914,0.0,182.02905881002414,298.90822502222403,73.19875941858477,147.19756612021155,108.18207246685252,125.45420857878953,72.81221100076301
"EPU Final","06-2005",87.9801669046813,81.41038985259671,81.97362965184381,95.81801716114676,135.24633990189355,125.8954109045512,0.0,119.71882611250876,0.0,144.42643841218927,104.8780156267902,71.15034713038199,84.68138874499496,23.94395841151162
"EPU Final","07-2005",43.28369913355557,45.05800355676512,107.54308378250727,0.0,26.614916025655646,45.04502056524288,0.0,117.79640417573624,96.71619003127765,35.52681659456804,47.62795595860719,0.0,44.86547221375038,23.55947092196507
"EPU Final","08-2005",65.0038351336537,65.16226014553077,134.59094739862618,0.0,26.64700796620105,78.92383677613947,0.0,117.93844164057835,290.4984276944284,47.42620586123739,71.52807774892915,35.046121546737595,77.00497791762899,47.17575728827571
"EPU Final","09-2005",86.75382465016462,84.99771818243235,76.07624622365361,44.46231731578392,0.0,74.35157360811625,0.0,55.55298046227924,0.0,67.0180235797569,82.35855239314624,66.03161712100199,84.63452577391305,44.4427429508633
"EPU Final","10-2005",57.637042698692234,53.333089503398405,47.73517849291262,0.0,23.62714034921889,49.98536449929615,0.0,0.0,0.0,42.05146121979995,56.375024135372065,31.074394300884936,56.898427494375426,20.914697814189232
"EPU Final","11-2005",104.67931508901644,96.86255608190027,104.03488221445654,0.0,51.49340257856949,119.83287461244855,234.21004246272935,56.97686267995321,187.12235290711658,114.559611827921,99.82757914612145,135.44815597403206,99.20434177815453,45.581857915817466
"EPU Final","12-2005",108.68920820734569,105.6016677445314,81.01506704704403,0.0,53.465932112829194,124.42324682542541,243.18179812158388,118.31888822651571,291.43551939666844,83.26358883864017,119.59802247267187,35.159173551727065,122.31785336431979,118.31984287623987
"EPU Final","01-2006",60.61000817449695,56.08405357767426,54.76079756791202,48.00694195870211,27.104560842153806,80.27902939453597,0.0,0.0,0.0,36.180417063396966,56.588216683717185,71.29578937717345,52.21814801282663,47.985807086357305
"EPU Final","02-2006",17.30838418370402,16.015908513113857,0.0,0.0,0.0,12.008470272690495,0.0,0.0,0.0,0.0,16.929400441337116,37.32651986655956,20.503893948957714,25.122706364133126
"EPU Final","03-2006",59.875638123917426,55.40452142608694,81.14594760770161,94.85054929804956,80.32846020182738,79.30634325486066,0.0,59.25501672087217,0.0,47.656058232131926,55.902575932298966,140.86389403599858,64.48182049645293,71.10659378022817
"EPU Final","04-2006",74.65147150841128,79.70422302222832,57.07069060550183,0.0,56.495744201029574,83.66531993993823,256.96244539477124,187.53568990312672,0.0,50.27541550181451,75.8252481633301,37.15157665457312,68.02598532135382,50.00992080665955
"EPU Final","05-2006",38.554243042082575,40.77173386365234,82.10762822912514,0.0,0.0,22.927492077650182,0.0,59.957262525900894,196.91052665951173,12.05521048046165,48.48436383035983,106.89998006736795,45.672207308725866,71.94929554550265
"EPU Final","06-2006",59.69574229309753,55.23805902626255,91.27421523074126,40.00851108381102,45.17734638494597,47.78839277172913,410.96481045419284,49.98821853522299,0.0,40.203202787992716,67.37151521458858,59.417206411095826,54.39761074930747,0.0
"EPU Final","07-2006",28.234906042690362,34.835346635599606,23.384237229593715,0.0,0.0,39.178472844979055,210.576417367852,51.227451606452334,0.0,20.599930199503955,20.71250668521133,30.445094416299977,27.873077435268403,20.491145972980092
"EPU Final","08-2006",59.7449360223607,55.28357929314219,0.0,0.0,48.98245719978442,51.81342178981345,0.0,0.0,88.99890261097622,32.69202073774251,65.74135849255107,128.84336964652107,64.87723912232698,86.7183480851348
"EPU Final","09-2006",53.175064560552194,49.20430238557792,72.0650524665241,0.0,47.559365724467874,70.43131488487626,0.0,105.24779153578154,86.41320995979649,42.32295558922477,70.92374359928891,62.55003616089177,57.2657774566777,42.09945628881994
"EPU Final","10-2006",61.13293915919095,60.91931519107649,23.367918850508165,0.0,23.13250377526455,88.09004850420273,0.0,102.38340642071141,84.06141987715024,41.171109624130715,62.09415821330626,152.11924355946113,55.707253157438046,81.9073859966713
"EPU Final","11-2006",76.66360533396397,75.66813254786292,76.19164439767508,44.52976110390039,25.14135601816769,53.188825477825176,0.0,0.0,182.7228133241658,33.55984078007925,82.48348004182755,165.3294471146817,72.65391924879063,66.76523557066551
"EPU Final","12-2006",30.793896003909065,37.992548653601396,25.503600695185224,0.0,0.0,53.41162710777799,0.0,55.87030517931435,0.0,0.0,37.64954248949305,132.81759391970013,30.39927409543363,44.69660477274561
"EPU Final","01-2007",45.617584189318464,46.90129407876893,50.37416730015524,44.161331339219764,24.933341790112152,31.649251474620158,0.0,55.176916660729404,90.60550183073057,11.09405793369299,59.49165766222414,32.7923092923216,54.03959713963734,66.21283422333394
"EPU Final","02-2007",49.6305877084279,45.924503625164455,27.402805002273485,48.046227508586476,0.0,22.95563548036416,493.5277081354567,60.030859820327116,98.57611676264837,12.07000820200068,56.6345245533438,35.67706645183434,58.793489686700354,24.012537670464397
"EPU Final","03-2007",57.47318472371371,53.181467358399395,118.99867701769084,125.1865458752509,23.559970085255223,89.71786745310767,642.9540078267889,104.27535280801668,85.61479366308194,31.448933950628636,77.29528673429256,61.97210405705979,62.41033628434228,41.7104776592857
"EPU Final","04-2007",42.16648202647122,43.89498899487756,78.57542678008181,0.0,77.783835533721,32.9117558353598,235.85876391925225,0.0,94.21980030031779,11.536605414818013,46.398607075827336,34.100410797138494,43.70742717420892,45.9027313778764
"EPU Final","05-2007",37.02599400470019,34.261137625122686,78.85296949633798,46.08515699803193,104.07810960739123,33.028006150319854,0.0,0.0,0.0,11.577354806000653,46.562495405373035,0.0,37.595836942515874,23.032434092078095
"EPU Final","06-2007",29.534247956999707,36.43843417251909,48.920712509537175,0.0,0.0,51.22678334003835,220.26693182670857,53.58488729031391,0.0,10.773959110916605,7.221891787977264,0.0,17.493461017080065,21.434127854863036
"EPU Final","07-2007",44.79215522872887,50.65790068352704,98.92534036271256,86.72450519275137,24.48218457160569,51.794288325341576,0.0,162.53554808073798,88.96603743275946,21.786632234630474,58.41518379758272,32.19894771354621,53.0617757733736,43.34316253073485
"EPU Final","08-2007",82.14833869842813,80.76492176162255,127.56658176296456,0.0,0.0,96.17755390973143,0.0,0.0,91.77905880682385,44.95100959343186,82.86054737916162,99.65114332375215,91.23256431383852,67.07044807613141
"EPU Final","09-2007",47.8773066348521,44.302145987725254,71.37384237181854,83.42804975558461,47.1032012930076,59.7906640646643,0.0,0.0,85.58437988202934,31.43776203803516,42.1460882035135,0.0,51.04486280436792,20.847830219046173
"EPU Final","10-2007",29.94991515046859,27.713453545654797,49.60922624115288,43.490733344809385,24.554724377743778,10.389550576668517,0.0,0.0,0.0,21.85118521902938,29.294132911824814,0.0,23.652887044328505,21.735793358005548
"EPU Final","11-2007",49.76906136525431,55.26316438202951,123.65667545339069,0.0,0.0,41.43543066027326,0.0,0.0,0.0,21.786632234630474,65.71708177228057,64.39789542709242,58.957528637081765,0.0
"EPU Final","12-2007",90.63166570454301,83.86389225643164,185.44588132076532,46.44975475909231,78.67613427995435,99.86791100199565,238.56442220788293,58.03616352882891,0.0,58.34473901441784,93.86173915576781,103.47478292122206,88.41763550985142,23.214652716224283
"EPU Final","01-2008",69.80358710368178,69.55966427793834,80.04675947277657,46.782860570113684,52.82689706765594,78.23207406336056,0.0,58.45235912385637,0.0,82.26840650192335,55.14532988381365,138.9557775430807,69.96919773073273,210.43019067710554
"EPU Final","02-2008",36.751941068942756,38.86577045748238,26.089776168896144,0.0,25.82694032719447,54.639241443328785,0.0,0.0,0.0,22.983326876267753,23.108928378046457,33.967569305914736,43.53716060944768,45.72391279050642
"EPU Final","03-2008",64.65203085986762,59.82424473877511,74.13924954858642,43.330250933942935,48.92823307742302,72.45848926163654,0.0,54.13853188224335,0.0,43.54110707850872,65.66858208093569,0.0,53.02261579125302,86.62234991382286
"EPU Final","04-2008",101.48691127794326,98.60396686989375,126.07766458124323,44.21121236106376,99.84601780106658,84.49333300302712,0.0,55.23923998527089,90.70784238249722,77.74612210836882,126.56256594999614,65.65869759659874,108.20127168245158,44.191748544137795
"EPU Final","05-2008",61.58779200781813,56.988822980402105,102.0144027807409,44.71629094858543,75.74001045686391,74.77627795088918,0.0,55.87030517931435,0.0,67.40083788047905,67.76917648108748,0.0,66.87840300995397,44.69660477274561
"EPU Final","06-2008",97.45091697549434,99.19131963195318,48.425491992448585,84.90598700722006,47.937639783013886,70.99150610955712,0.0,106.08490339904517,174.20103352705178,95.98405654779715,85.78542175913992,189.14262561449704,92.35400581299633,0.0
"EPU Final","07-2008",44.578153752075636,50.415874697166934,73.8395318914624,43.15508270157492,24.3652171333731,20.618733228228596,0.0,0.0,0.0,10.841271608118216,58.13609618664242,32.04511224119189,46.94067991156705,64.7041257625303
"EPU Final","08-2008",61.976301248758844,61.75973022201104,94.76116791730654,83.07391583373565,70.3548876758842,69.45967665335515,0.0,51.89792055213282,0.0,41.73908743641975,41.9671872277646,61.68712444873231,45.180611970065065,41.5186714302193
"EPU Final","09-2008",113.12634871790883,123.71133402676882,102.20901247700328,44.80159482296275,75.88449731389721,107.02703760780237,230.0995266469012,111.9537744379088,0.0,78.7843190842532,113.16409604434425,66.53548295176125,115.73761020355327,111.95467773104728
"EPU Final","10-2008",194.38646852467596,207.5434298444932,148.60751943540623,86.85279588090631,147.11040492583183,176.36108412318234,223.03656040736982,271.2933088034014,178.1952879940182,218.18860980539688,175.50479037409838,193.4794757580247,206.65660370645745,130.22183890521077
"EPU Final","11-2008",166.38841750260326,167.96032451911995,175.38615337781323,43.930033681625645,49.605503793421775,115.43945085187244,451.24643422486196,329.3275452320527,90.1309500067013,88.28761704658334,118.36013297706994,163.10278789428193,149.32378184550828,263.4641619152188
"EPU Final","12-2008",176.8414473099239,173.5534367173213,79.88762078595197,140.069558685072,79.08281012315095,100.38412684415309,0.0,291.6807582522455,95.79325223376247,129.02190874854324,149.38260620045855,34.669880878044985,190.44571079429514,163.34254253133395
"EPU Final","01-2009",115.8995488009534,112.35183869860052,164.5514875320796,0.0,81.4468744716317,68.92330849386978,0.0,60.0800251436853,197.3137013660218,72.47936129162079,113.36181655067341,71.41257199695589,111.14532302771075,144.19322375089675
"EPU Final","02-2009",121.88918956586053,128.89978393327814,115.37029358407648,101.14124033676602,57.10401018079949,72.48523658140827,259.72905225733336,63.18493600382407,0.0,76.22506471754434,144.7675172968087,75.10314419318098,130.64094588437257,202.19342658609816
"EPU Final","03-2009",57.35090135196113,67.54149220024186,51.81621309520804,90.85104837987261,51.29420179489997,65.11052972612379,0.0,0.0,93.1992376665039,34.23493235476556,84.14272219353936,33.731044645370645,67.93914363796486,68.10828866531719
"EPU Final","04-2009",82.6500111470413,91.77390585437607,82.14119635186803,0.0,54.20912168430761,22.936865541295994,0.0,119.96354979630375,98.49551486832077,84.42097314792626,97.0083714578009,35.647894688586724,78.32722201923994,47.985807086357305
"EPU Final","05-2009",47.98147007887571,54.264871460044,26.492268760109333,0.0,26.22537809331812,33.289303667331886,0.0,0.0,0.0,35.0068434086507,39.10905798156992,0.0,56.83990854204733,92.85861086489713
"EPU Final","06-2009",81.48404968386255,85.45260766798033,107.97655046441983,47.32969771502835,26.722190979406776,79.1465158803043,0.0,118.27119822723054,97.10601748001315,35.6700121471459,95.63985352107254,35.14500217988034,96.52780383870461,94.61772199373637
"EPU Final","07-2009",80.5426005042482,74.5282117263625,106.72901263036877,187.13144228045473,132.06724266913986,55.8800529024004,0.0,116.90471824771274,287.95222633615055,35.25788850082429,110.2906597676273,104.2168331573105,95.41254236009009,70.1433968923685
"EPU Final","08-2009",43.82914412263696,45.6258076666268,27.22457537624244,0.0,26.950307243865122,45.61266106830082,0.0,59.64041520360955,0.0,11.991504083613684,24.11407282375823,0.0,32.450607225450696,0.0
"EPU Final","09-2009",93.98508938431566,92.76469806076919,62.27099528178187,163.77263602647886,92.46548928857491,65.20638437239656,280.3769685455732,68.20800623006949,0.0,95.99893087858095,82.73447579699476,0.0,81.6469950274938,136.41711312555785
"EPU Final","10-2009",85.48073034488921,94.91711362359571,28.318162970636955,148.953463041419,84.09863317535924,94.88976425202537,0.0,124.07223797114544,101.86893419362055,112.25873167492894,66.88723793820465,0.0,81.00988797423294,74.44394342488158
"EPU Final","11-2009",75.74881263737193,70.0923922360919,173.72880784839532,152.30217902851535,28.66310238647134,36.383640151757454,0.0,0.0,104.15911343186882,63.76805025008574,85.48871472322418,37.69768716311419,75.92852844969266,126.86260714789233
"EPU Final","12-2009",99.83305050156198,103.24619948381199,87.54569336674038,102.33113728190445,28.887911032639742,73.3380040706013,0.0,0.0,0.0,102.82910691307943,77.54329300188921,0.0,83.48077780351237,76.71456479296076
"EPU Final","01-2010",68.66701250339024,69.31572447732094,31.020127570892264,108.77719317367796,61.41524392765929,51.971813908300135,0.0,67.95526697585895,111.5887120740679,68.31658185662265,64.1105965763651,0.0,73.94950789681215,81.546978323226
"EPU Final","02-2010",52.33965754450822,66.59300730630642,65.02180138403533,57.002417490769574,32.18337661160592,40.85211634515291,0.0,0.0,0.0,28.63990295698025,47.994028435635315,84.65509748377002,54.252374409928244,0.0
"EPU Final","03-2010",45.13172647203304,46.98178604432898,84.10103234686865,0.0,0.0,58.71031091880493,0.0,0.0,201.6911087215677,37.043658491866466,33.10764288904437,0.0,33.41502460218029,24.56535875538509
"EPU Final","04-2010",60.43704850991419,72.70121221617963,30.0324912222226,105.3138834358613,89.18980603575096,50.317105931847536,0.0,65.79166878963206,0.0,52.9131839384568,44.33529084188733,117.3023548093495,57.27604934501073,52.63375970099998
"EPU Final","05-2010",114.83039216883697,106.25561785441636,180.19494733333562,105.3138834358613,59.45987069050064,100.63421186369507,0.0,131.5833375792641,0.0,79.3697759076852,141.87293069403947,156.40313974579934,121.71160485814781,105.26751940199996
"EPU Final","06-2010",77.01406752977638,76.35339242170198,82.00708827619151,47.92856327795321,27.060308497921717,45.79883519511021,0.0,59.88384546974673,98.33470586445414,96.32359198592542,64.56666029545062,71.17938808839439,78.19934084043302,23.95373145576122
"EPU Final","07-2010",56.43828231872222,57.44622908332967,84.13625053461858,98.3458794229358,55.525758643139206,46.9879171809129,0.0,61.43861867708521,0.0,74.11834182334086,49.68226059166269,73.02742915266593,46.80062449097663,73.72693726961681
"EPU Final","08-2010",22.775600874881057,31.61230442470129,0.0,0.0,0.0,23.702396752855936,0.0,0.0,0.0,24.925306333493587,16.707680367960922,36.837663881826415,26.980479518245446,24.79368063650823
"EPU Final","09-2010",59.189555633337136,71.20057235049651,117.65033891182503,103.14007907859933,58.23254793140818,12.319625189725517,0.0,0.0,0.0,38.86574446072419,69.47225196480193,38.29369802735315,63.105528675580004,77.32100404033595
"EPU Final","10-2010",77.61598743231268,87.21016850031229,55.09868813291353,0.0,27.271804121722838,23.078392889350063,0.0,0.0,0.0,72.8073222024426,65.07129482676018,71.73570580689686,72.2429807915011,144.84568177691892
"EPU Final","11-2010",84.76391080321301,78.43430248770225,90.25937388889002,52.751563356237796,148.91679204831135,100.81504602697215,0.0,263.63957125045727,0.0,132.52066507497602,106.59590143116847,156.6841876159625,93.24082830816832,105.45667936498651
