"newspaper","date","total_news","economy_news_count","epu_news_count","pol_impositiva_count","pol_gasto_gub_count","pol_fiscal_count","pol_monetaria_count","pol_salud_count","pol_reg_financiera_count","pol_regulacion_count","pol_deuda_crisis_count","pol_prog_derechos_count","pol_comercial_count","otras_politicas_count","autoridades_intls_count"
"la_diaria","05-2017","1037",150,24,5,3,8,8,4,4,3,3,19,1,22,8
"la_diaria","06-2017","1006",164,16,4,4,7,7,2,5,1,2,15,1,14,2
"la_diaria","07-2017","1024",170,24,3,2,8,8,3,5,5,4,15,2,21,4
"la_diaria","08-2017","1062",163,24,8,5,6,10,4,2,7,5,19,1,24,5
"la_diaria","09-2017","986",147,25,6,3,2,7,0,0,7,2,16,6,23,9
"la_diaria","10-2017","965",145,24,7,1,1,6,2,2,2,3,16,4,22,7
"la_diaria","11-2017","1020",167,19,4,1,1,12,1,7,4,5,15,2,18,9
"la_diaria","12-2017","943",183,25,3,3,2,6,5,4,4,2,17,3,23,2
"la_diaria","01-2018","853",143,22,5,0,1,0,2,2,2,4,16,4,19,3
"la_diaria","02-2018","891",133,18,7,7,5,9,0,0,2,7,16,4,17,10
"la_diaria","03-2018","1031",158,20,3,2,2,3,2,1,3,6,19,4,19,8
"la_diaria","04-2018","994",142,8,1,0,2,3,4,3,1,2,6,1,7,1
