"newspaper","date","epu_news_rel","epu_cat2_news_rel","epu_cat3_news_rel","epu_cat4_news_rel","epu_cat5_news_rel","epu_cat6_news_rel","epu_cat7_news_rel","epu_cat8_news_rel","epu_cat9_news_rel","epu_cat10_news_rel","epu_cat11_news_rel","epu_cat12_news_rel","epu_cat13_news_rel","epu_cat14_news_rel"
"la_republica_fake","09-2013",0.002886002886002886,0.0,0.0,0.0,0.000962000962000962,0.0,0.0,0.0,0.0,0.002886002886002886,0.001924001924001924,0.0,0.001924001924001924,0.000481000481000481
"la_republica_fake","10-2013",0.0022613065326633165,0.0005025125628140704,0.0,0.0,0.0005025125628140704,0.0,0.0005025125628140704,0.0002512562814070352,0.0,0.0022613065326633165,0.0007537688442211055,0.0020100502512562816,0.0017587939698492463,0.0007537688442211055
"la_republica_fake","11-2013",0.004958246346555324,0.0005219206680584551,0.0,0.0,0.0010438413361169101,0.0,0.0007828810020876827,0.0005219206680584551,0.0,0.004958246346555324,0.002348643006263048,0.002348643006263048,0.0041753653444676405,0.00026096033402922753
"la_republica_fake","12-2013",0.003754416961130742,0.0008833922261484099,0.0,0.0,0.0008833922261484099,0.0,0.00022084805653710247,0.0,0.0,0.003754416961130742,0.0015459363957597172,0.00022084805653710247,0.0035335689045936395,0.0
"la_republica_fake","01-2014",0.001339046598821639,0.0002678093197643278,0.0,0.0,0.0008034279592929834,0.0,0.0,0.0,0.0,0.001339046598821639,0.0008034279592929834,0.0002678093197643278,0.001339046598821639,0.0005356186395286556
"la_republica_fake","02-2014",0.0026049204052098407,0.0005788712011577424,0.0,0.0,0.0005788712011577424,0.0,0.0008683068017366136,0.0,0.0,0.0026049204052098407,0.0017366136034732273,0.0005788712011577424,0.0020260492040520984,0.0002894356005788712
"la_republica_fake","03-2014",0.00740108169655565,0.0,0.000569313976658127,0.0002846569883290635,0.001138627953316254,0.0,0.0025619128949615714,0.0,0.000569313976658127,0.00740108169655565,0.004554511813265016,0.003985197836606889,0.0062624537432393965,0.000569313976658127
"la_republica_fake","04-2014",0.003474232773595831,0.0005790387955993051,0.0,0.0005790387955993051,0.0005790387955993051,0.0,0.0005790387955993051,0.0,0.00028951939779965256,0.003474232773595831,0.0031847133757961785,0.0008685581933989577,0.003474232773595831,0.0005790387955993051
"la_republica_fake","05-2014",0.0032406157169862274,0.00027005130974885227,0.0005401026194977045,0.0005401026194977045,0.001890359168241966,0.0,0.0005401026194977045,0.0,0.001080205238995409,0.0032406157169862274,0.002970564407237375,0.001890359168241966,0.0032406157169862274,0.0016203078584931137
"la_republica_fake","06-2014",0.0027397260273972603,0.0006322444678609062,0.0,0.0,0.0006322444678609062,0.0,0.00042149631190727084,0.0,0.0,0.0027397260273972603,0.0016859852476290833,0.0014752370916754477,0.002107481559536354,0.00021074815595363542
"la_republica_fake","07-2014",0.0011169024571854058,0.00037230081906180194,0.00037230081906180194,0.0,0.00037230081906180194,0.00037230081906180194,0.0,0.0,0.0,0.0011169024571854058,0.00037230081906180194,0.00037230081906180194,0.0007446016381236039,0.0
"la_republica_fake","08-2014",0.0011424219345011425,0.0,0.00012693577050012695,0.00012693577050012695,0.0003808073115003808,0.0002538715410002539,0.00012693577050012695,0.0,0.0003808073115003808,0.0011424219345011425,0.0008885503935008886,0.0005077430820005078,0.0008885503935008886,0.0003808073115003808
"la_republica_fake","09-2014",0.004694835680751174,0.0028169014084507044,0.0009389671361502347,0.0009389671361502347,0.0028169014084507044,0.0009389671361502347,0.0009389671361502347,0.0,0.0009389671361502347,0.004694835680751174,0.0028169014084507044,0.0018779342723004694,0.0028169014084507044,0.0009389671361502347
"la_republica_fake","10-2014",0.0010615711252653928,0.0,0.0,0.0,0.0010615711252653928,0.0,0.0,0.0,0.0,0.0010615711252653928,0.0010615711252653928,0.0,0.0010615711252653928,0.0
