"newspaper","date","epu_news_std","pol_impositiva_std","pol_gasto_gub_std","pol_fiscal_std","pol_monetaria_std","pol_salud_std","pol_reg_financiera_std","pol_regulacion_std","pol_deuda_crisis_std","pol_prog_derechos_std","pol_comercial_std","otras_politicas_std","autoridades_intls_std"
"busqueda","10-2014",5.739282034852087,5.690181069035039,0.965094161504246,1.7031100859810875,3.9669696046334826,2.8166191553600703,0.7363483430461991,1.1400121268194099,5.739282034852087,3.7309191553689494,3.6178704092338387,4.876088348595295,1.3555495712437422
"busqueda","11-2014",5.8190879542556315,6.098978756603395,1.946506340231994,2.061010031585809,3.4671058823105034,1.136172461220125,0.891088212237067,1.8394398568004005,5.8190879542556315,3.250766081460598,3.7526978779009386,4.649094336759063,1.0936076251096858
"busqueda","12-2014",6.271573910630687,6.43033244117268,1.6965339470653589,1.9246424505485524,5.423844991598293,0.8252199981493539,1.2944228767233183,1.6700177647266794,6.271573910630687,4.19748041395614,4.088465582765759,5.324812906352789,1.390032849810469
"busqueda","01-2015",5.615623340470469,5.885727751127751,1.127068006791672,1.7048114946583914,3.345878403908038,1.0964461513872534,1.2898969226089012,2.21890472236412,5.615623340470469,3.6599534203857083,4.52685583173365,4.486538590718536,1.319211995324621
"busqueda","02-2015",6.062714834976012,5.48782508572893,2.2861095740597035,2.161241522483599,3.13231169727561,0.8339989342998789,1.3081933328586728,3.375567822319884,6.062714834976012,4.507267864720191,3.672853242200919,4.462674023746629,0.40137726666259743
"busqueda","03-2015",5.911054488280455,5.6487185799413995,1.8028045298792963,2.1815484898089483,4.9402231467098545,2.104587914743319,1.2379547646514957,2.98137399608924,5.911054488280455,3.5125727457393037,2.8963775567691807,4.305872607199668,0.5064357458561632
"busqueda","04-2015",6.8235788253521585,6.886903470871119,2.096529755723045,1.7838149541669508,4.847443346149694,0.0,1.7995635115421744,2.1669498800843745,6.8235788253521585,4.862934625924797,5.473447148743321,5.898156830237294,0.7361846451957885
"busqueda","05-2015",3.7286531319790486,3.702312617644876,1.220990340690978,0.9234395596066287,2.5094088029310284,0.0,1.3973883328263097,0.9615253796911185,3.7286531319790486,2.265685450714962,1.6346979392371515,3.1779648350922964,0.0
"busqueda","06-2015",6.252768591558332,6.085410394519739,0.9262685343172936,2.3351345185454977,4.653463067504283,1.3516534452446314,3.5336256692159553,1.8235826166555695,6.252768591558332,4.726688612698456,5.208485847776303,5.672634999759068,1.084179973169085
"busqueda","07-2015",5.310387039544897,5.430058505879152,1.3430893747600758,2.8441938435884166,4.232536180943669,1.1759384973628293,1.8445525993307286,2.5384270023845525,5.310387039544897,3.6137682938903644,4.531382687565383,4.441673204811351,0.5659419459942624
