"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"6-2005",17,2,1,5,1,0,3,3,1,1
"7-2005",10,0,3,0,0,2,2,2,0,1
"8-2005",19,3,0,6,0,1,6,2,1,0
"9-2005",26,9,0,2,1,4,2,4,1,3
"10-2005",18,4,2,2,0,3,3,1,1,2
"11-2005",25,6,3,2,1,1,7,3,1,1
"12-2005",27,6,1,1,1,2,2,10,1,3
"1-2006",20,8,0,1,1,3,4,0,1,2
"2-2006",9,4,2,0,1,1,0,0,1,0
"3-2006",17,7,2,2,1,2,1,1,1,0
"4-2006",19,4,0,4,3,0,1,6,0,1
"5-2006",21,10,5,1,1,0,1,0,2,1
"6-2006",24,8,0,4,3,2,4,1,2,0
"7-2006",19,9,1,0,2,1,2,2,1,1
"8-2006",15,3,0,3,2,2,1,2,2,0
"9-2006",14,2,0,3,0,1,4,3,0,1
"10-2006",17,2,2,2,1,2,3,4,1,0
"11-2006",18,0,4,2,1,3,2,4,1,1
"12-2006",10,1,0,1,0,2,2,1,2,1
"1-2007",11,2,1,2,0,1,1,1,0,3
"2-2007",9,0,0,0,0,0,4,4,0,1
"3-2007",12,0,1,3,0,0,4,2,1,1
"4-2007",9,0,0,2,0,2,1,4,0,0
"5-2007",14,5,0,3,0,2,2,2,0,0
"6-2007",8,0,1,2,0,0,2,0,1,2
"7-2007",11,1,1,2,0,0,2,1,1,3
"8-2007",21,3,0,1,0,3,3,4,2,5
"9-2007",11,2,1,0,0,3,1,1,3,0
"10-2007",7,1,1,1,0,0,2,2,0,0
"11-2007",12,0,0,1,1,1,3,3,2,1
"12-2007",17,1,0,4,0,3,2,5,0,2
"1-2008",15,3,0,1,2,1,0,3,3,2
"2-2008",10,1,1,1,1,2,0,2,1,1
"3-2008",15,4,1,3,0,2,1,1,3,0
"4-2008",22,1,0,5,1,0,2,7,0,6
"5-2008",13,1,2,2,0,2,1,2,1,2
"6-2008",23,2,2,1,0,3,5,1,4,5
"7-2008",13,0,3,3,0,4,1,1,1,0
"8-2008",17,1,2,3,2,2,1,4,0,2
"9-2008",28,0,1,4,2,4,2,6,6,3
"10-2008",53,7,4,8,8,4,5,5,3,9
"11-2008",42,4,6,4,2,8,6,3,4,5
"12-2008",36,3,5,8,1,7,4,1,0,7
"1-2009",24,3,0,2,1,7,2,2,1,6
"2-2009",24,1,1,3,6,4,4,1,1,3
"3-2009",14,0,2,3,1,2,1,3,1,1
"4-2009",19,1,0,2,2,5,3,0,1,5
"5-2009",12,0,0,3,1,0,5,2,0,1
"6-2009",19,3,1,0,1,2,1,6,2,3
"7-2009",17,1,0,3,0,2,2,2,4,3
"8-2009",12,1,1,2,1,0,1,2,1,3
"9-2009",19,2,0,6,1,3,0,1,3,3
"10-2009",20,6,0,3,1,2,1,3,2,2
"11-2009",16,0,1,3,0,2,1,5,3,1
"12-2009",23,3,1,3,1,4,1,5,1,4
"1-2010",15,2,3,2,2,3,2,0,1,0
"2-2010",15,1,0,1,1,2,4,1,2,3
"3-2010",13,2,0,1,0,2,2,1,1,4
"4-2010",17,0,1,3,1,1,0,4,5,2
"5-2010",24,0,6,0,1,2,0,6,6,3
"6-2010",23,4,2,6,0,2,1,1,2,5
"7-2010",13,0,2,1,1,2,2,0,1,4
"8-2010",9,2,1,1,2,1,0,0,1,1
"9-2010",15,0,1,4,0,1,2,1,2,4
"10-2010",22,1,3,1,1,2,1,5,4,4
"11-2010",21,4,2,2,0,2,0,6,4,1
"12-2010",17,0,2,6,1,1,1,2,2,2
"1-2011",11,0,0,2,0,3,1,1,1,3
"2-2011",19,0,2,1,0,1,3,5,4,3
"3-2011",33,2,2,7,2,0,2,2,9,7
"4-2011",20,0,1,8,1,2,0,3,2,3
"5-2011",20,3,1,3,1,1,1,1,6,3
"6-2011",42,2,2,7,0,4,3,14,5,5
"7-2011",54,5,4,14,1,4,0,5,12,9
"8-2011",67,13,4,9,2,5,1,5,22,6
"9-2011",50,8,2,12,2,3,0,0,13,10
"10-2011",47,2,0,15,2,2,1,3,11,11
"11-2011",54,1,6,2,1,2,4,12,18,8
"12-2011",53,2,6,9,5,9,5,3,9,5
"1-2012",33,0,1,7,0,5,3,3,7,7
"2-2012",33,3,3,5,2,1,0,8,5,6
"3-2012",29,1,3,4,2,1,5,1,6,6
"4-2012",39,3,11,13,0,3,3,0,3,3
"5-2012",43,5,6,6,3,1,4,2,11,5
"6-2012",72,6,11,7,1,4,3,12,16,12
"7-2012",47,5,3,11,1,3,6,6,8,4
"8-2012",49,8,5,7,4,4,7,3,7,4
"9-2012",38,5,4,3,1,7,3,5,6,4
"10-2012",47,3,7,4,0,6,3,11,6,7
"11-2012",39,1,2,5,3,13,3,2,9,1
"12-2012",41,0,3,7,2,2,8,7,2,10
"1-2013",52,3,3,10,3,7,7,11,2,6
"2-2013",22,2,0,3,0,2,1,10,2,2
"3-2013",31,0,1,8,1,7,1,6,1,6
"4-2013",24,0,0,6,1,5,0,2,6,4
"5-2013",29,3,4,7,0,1,1,4,4,5
"6-2013",27,8,1,7,1,1,3,4,1,1
"7-2013",33,4,0,7,0,3,5,4,2,8
"8-2013",23,1,0,8,1,4,3,3,1,2
"9-2013",26,7,2,2,0,3,2,1,8,1
"10-2013",33,6,4,8,1,3,5,3,2,1
"11-2013",33,3,5,2,0,2,4,6,1,10
"12-2013",32,0,2,4,2,7,4,5,3,5
"1-2014",28,4,6,4,0,2,2,1,2,7
"2-2014",22,2,4,1,2,2,1,0,6,4
"3-2014",22,2,1,8,1,3,0,3,2,2
"4-2014",30,2,3,6,0,2,2,5,5,5
"5-2014",21,1,0,2,1,5,1,4,2,5
"6-2014",29,4,3,6,1,1,4,4,1,5
"7-2014",26,3,3,3,3,3,3,3,1,4
"8-2014",32,6,5,3,0,2,3,5,1,7
"9-2014",37,3,3,5,2,4,2,11,3,4
"10-2014",29,4,3,4,2,2,1,10,1,2
"11-2014",33,1,3,5,1,1,4,13,1,4
"12-2014",37,6,1,2,2,2,4,6,5,9
"1-2015",36,3,1,7,0,4,2,4,6,9
"2-2015",29,2,0,5,2,6,2,2,3,7
"3-2015",36,6,2,8,0,7,4,2,1,6
"4-2015",34,5,3,4,0,3,4,4,1,10
"5-2015",21,3,0,2,1,1,2,6,6,0
"6-2015",33,5,1,5,0,7,5,3,3,4
"7-2015",37,5,3,5,1,5,6,5,4,3
"8-2015",38,5,0,6,0,4,6,7,7,3
"9-2015",54,8,2,13,1,6,2,9,3,10
"10-2015",37,5,0,10,2,4,6,5,1,4
"11-2015",26,4,1,6,1,3,2,6,1,2
"12-2015",43,3,6,10,1,2,3,8,3,7
"1-2016",25,4,1,2,0,0,1,5,7,5
"2-2016",35,6,0,5,2,4,4,4,2,8
"3-2016",27,3,2,5,1,2,3,4,4,3
"4-2016",29,3,1,7,0,2,5,4,3,4
"5-2016",28,1,1,2,0,4,8,6,2,4
"6-2016",49,0,0,4,4,10,2,8,13,8
"7-2016",48,6,0,6,0,5,7,5,16,3
"8-2016",36,9,2,3,2,7,2,4,3,4
"9-2016",32,5,0,1,0,10,7,4,2,3
"10-2016",33,1,1,3,2,4,7,6,4,5
"11-2016",39,5,2,3,0,8,1,5,11,4
"12-2016",57,3,2,9,0,14,6,11,7,5
"1-2017",58,5,0,10,3,10,3,13,6,8
"2-2017",44,5,2,5,0,11,8,7,3,3
"3-2017",32,3,1,5,1,5,7,4,2,4
"4-2017",22,1,1,2,0,5,4,5,2,2
"5-2017",48,2,0,7,1,10,10,11,5,2
"6-2017",32,4,3,10,0,5,2,5,2,1
"7-2017",29,3,0,3,0,6,6,3,3,5
"8-2017",30,3,1,5,0,5,5,9,0,2
"9-2017",38,4,2,2,0,7,5,9,6,3
"10-2017",26,1,1,4,0,6,2,9,1,2
"11-2017",25,1,2,2,1,10,3,2,2,2
"12-2017",34,2,0,0,0,9,5,13,2,3
"1-2018",39,2,0,6,0,11,1,8,5,6
"2-2018",24,5,1,4,1,5,2,1,4,1
"3-2018",27,2,1,4,1,8,3,3,3,2
"4-2018",16,2,0,0,1,3,4,2,2,2
"5-2018",42,9,6,6,0,9,0,6,4,2
"6-2018",34,6,2,5,1,6,3,5,2,4
"7-2018",42,4,0,5,2,8,6,7,3,7
"8-2018",24,1,4,4,0,0,2,4,6,3
"9-2018",35,4,7,3,0,1,1,8,6,5
