"date","epu_index_rel","Tema_std 0","Tema_std 1","Tema_std 2","Tema_std 3","Tema_std 4","Tema_std 5","Tema_std 6","Tema_std 7","Tema_std 8","Tema_std 9","Tema_std 10","Tema_std 11","Tema_std 12","Tema_std 13","Tema_std 14","Tema_std 15","Tema_std 16","Tema_std 17","Tema_std 18","Tema_std 19","Tema_std 20","Tema_std 21","Tema_std 22","Tema_std 23","Tema_std 24","Tema_std 25","Tema_std 26","Tema_std 27","Tema_std 28","Tema_std 29"
"9-2007",0.9012378330889218,0.0,0.0,0.44855121807559417,nan,nan,0.0,0.472699164110875,0.0,nan,0.8799891442319685,nan,0.0,nan,0.0,nan,nan,2.940239298538066,0.0,0.0,0.0,0.0,0.38755598513209205,nan,0.0,0.5476574947633142,nan,0.0,0.5294609452920099,1.7639385111732997,0.0
"10-2007",0.5735149846929503,0.45218689606948115,0.0,0.8971024361511883,nan,nan,1.3796929303227805,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.38755598513209205,nan,0.0,0.0,nan,0.0,0.5294609452920099,0.8819692555866498,0.0
"11-2007",0.9831685451879146,0.0,0.5071167610062239,1.3456536542267825,nan,nan,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.649171169191532,1.8165782221795281,0.0,0.7751119702641841,nan,0.0,0.0,nan,0.0,0.0,1.7639385111732997,0.0
"12-2007",1.3928221056828791,0.0,1.5213502830186718,0.8971024361511883,nan,nan,0.0,0.472699164110875,0.0,nan,0.0,nan,0.0,nan,1.0189533014776022,nan,nan,0.0,0.0,0.0,0.6055260740598427,0.0,0.7751119702641841,nan,0.0,1.0953149895266283,nan,0.0,0.0,3.5278770223465994,0.5212363945026901
"1-2008",1.2289606814848932,0.45218689606948115,0.5071167610062239,1.3456536542267825,nan,nan,1.3796929303227805,0.0,0.0,nan,1.759978288463937,nan,0.0,nan,0.0,nan,nan,0.9800797661793553,0.0,0.0,0.6055260740598427,0.0,0.38755598513209205,nan,0.0,0.5476574947633142,nan,0.0,1.0589218905840199,0.0,0.5212363945026901
"2-2008",0.8193071209899289,0.45218689606948115,0.0,1.3456536542267825,nan,nan,0.0,0.472699164110875,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0.9800797661793553,0.0,0.0,0.0,0.0,0.38755598513209205,nan,0.0,0.0,nan,0.0,1.58838283587603,0.0,0.0
"3-2008",1.2289606814848932,0.45218689606948115,0.5071167610062239,0.8971024361511883,nan,nan,0.0,0.472699164110875,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0.9800797661793553,0.0,0.0,0.6055260740598427,0.0,0.38755598513209205,nan,0.0,1.0953149895266283,nan,1.6651995372838917,1.0589218905840199,0.8819692555866498,0.5212363945026901
"4-2008",1.8024756661778436,0.0,1.5213502830186718,3.139858526529159,nan,nan,0.0,0.472699164110875,0.0,nan,1.759978288463937,nan,0.0,nan,0.0,nan,nan,0.9800797661793553,0.0,0.0,0.6055260740598427,0.7562057482973544,0.38755598513209205,nan,0.0,0.5476574947633142,nan,0.0,0.5294609452920099,1.7639385111732997,0.5212363945026901
"5-2008",1.0650992572869076,0.0,0.5071167610062239,0.44855121807559417,nan,nan,0.0,0.472699164110875,0.0,nan,0.8799891442319685,nan,0.0,nan,0.0,nan,nan,0.0,1.9129848064125385,0.649171169191532,0.6055260740598427,0.0,1.1626679553962762,nan,6.420709478249395,0.5476574947633142,nan,0.0,0.0,0.0,0.5212363945026901
"6-2008",1.8844063782768363,0.0,1.0142335220124479,1.3456536542267825,nan,nan,1.3796929303227805,0.94539832822175,0.0,nan,0.8799891442319685,nan,0.0,nan,2.0379066029552044,nan,nan,0.0,0.0,0.0,3.6331564443590563,0.0,1.1626679553962762,nan,0.0,1.0953149895266283,nan,0.0,0.5294609452920099,0.0,0.0
"7-2008",1.0650992572869076,0.9043737921389623,0.5071167610062239,0.8971024361511883,nan,nan,0.0,0.472699164110875,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0.0,1.9129848064125385,0.0,0.0,0.0,1.9377799256604602,nan,0.0,0.5476574947633142,nan,0.0,0.0,0.0,0.0
"8-2008",1.3928221056828791,0.0,1.0142335220124479,1.3456536542267825,nan,nan,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,1.0189533014776022,nan,nan,0.0,3.825969612825077,0.0,2.422104296239371,0.0,0.7751119702641841,nan,6.420709478249395,0.0,nan,1.6651995372838917,0.5294609452920099,0.0,0.0
"9-2008",2.294059938771801,0.45218689606948115,1.5213502830186718,1.7942048723023767,nan,nan,0.0,0.472699164110875,1.2714899428111368,nan,2.6399674326959057,nan,0.0,nan,0.0,nan,nan,3.9203190647174213,0.0,0.649171169191532,2.422104296239371,0.7562057482973544,1.1626679553962762,nan,6.420709478249395,0.5476574947633142,nan,0.0,0.0,0.0,0.0
"10-2008",4.342327741246623,0.45218689606948115,2.0284670440248957,0.44855121807559417,nan,nan,1.3796929303227805,2.8361949846652497,0.0,nan,0.8799891442319685,nan,1.2175335339785796,nan,3.0568599044328066,nan,nan,0.9800797661793553,0.0,0.0,6.055260740598427,1.5124114965947089,3.1004478810567364,nan,0.0,1.0953149895266283,nan,0.0,3.17676567175206,1.7639385111732997,2.0849455780107604
"11-2008",3.4410899081577013,0.45218689606948115,1.0142335220124479,2.691307308453565,nan,nan,0.0,1.8907966564435,0.0,nan,2.6399674326959057,nan,2.435067067957159,nan,1.0189533014776022,nan,nan,0.0,3.825969612825077,0.0,1.8165782221795281,3.781028741486772,1.9377799256604602,nan,0.0,2.1906299790532566,nan,0.0,1.0589218905840199,0.0,1.0424727890053802
"12-2008",2.949505635563744,0.0,1.5213502830186718,0.44855121807559417,nan,nan,1.3796929303227805,0.94539832822175,0.0,nan,1.759978288463937,nan,1.2175335339785796,nan,1.0189533014776022,nan,nan,0.0,0.0,0.649171169191532,1.8165782221795281,1.5124114965947089,2.712891895924644,nan,0.0,1.6429724842899425,nan,0.0,0.5294609452920099,0.0,4.169891156021521
"1-2009",1.9663370903758293,0.45218689606948115,2.0284670440248957,2.242756090377971,nan,nan,2.759385860645561,0.0,0.0,nan,1.759978288463937,nan,1.2175335339785796,nan,0.0,nan,nan,0.0,0.0,0.0,3.0276303702992133,0.7562057482973544,0.38755598513209205,nan,0.0,1.0953149895266283,nan,0.0,0.0,0.0,0.0
"2-2009",1.9663370903758293,0.0,0.0,0.8971024361511883,nan,nan,0.0,0.0,0.0,nan,0.8799891442319685,nan,1.2175335339785796,nan,2.0379066029552044,nan,nan,0.0,0.0,0.649171169191532,2.422104296239371,3.0248229931894177,0.7751119702641841,nan,0.0,1.0953149895266283,nan,0.0,0.0,0.0,2.6061819725134505
"3-2009",1.1470299693859005,0.0,1.0142335220124479,1.3456536542267825,nan,nan,0.0,0.0,0.0,nan,0.8799891442319685,nan,0.0,nan,1.0189533014776022,nan,nan,0.0,0.0,0.0,0.0,0.7562057482973544,0.7751119702641841,nan,0.0,0.0,nan,0.0,0.0,0.8819692555866498,1.5637091835080703
"4-2009",1.5566835298808648,0.45218689606948115,0.0,0.44855121807559417,nan,nan,1.3796929303227805,0.0,0.0,nan,1.759978288463937,nan,2.435067067957159,nan,0.0,nan,nan,0.0,0.0,0.0,1.2110521481196854,0.7562057482973544,1.9377799256604602,nan,0.0,1.6429724842899425,nan,0.0,0.5294609452920099,0.0,0.0
"5-2009",0.9831685451879146,0.45218689606948115,0.5071167610062239,0.44855121807559417,nan,nan,1.3796929303227805,0.0,0.0,nan,0.0,nan,1.2175335339785796,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.7562057482973544,0.38755598513209205,nan,0.0,0.5476574947633142,nan,1.6651995372838917,0.0,0.0,1.5637091835080703
"6-2009",1.5566835298808648,0.0,1.0142335220124479,0.8971024361511883,nan,nan,0.0,0.94539832822175,2.5429798856222736,nan,0.8799891442319685,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.6055260740598427,0.0,1.9377799256604602,nan,0.0,0.0,nan,0.0,1.0589218905840199,0.8819692555866498,0.5212363945026901
"7-2009",1.3928221056828791,0.0,0.5071167610062239,0.0,nan,nan,1.3796929303227805,0.94539832822175,0.0,nan,3.519956576927874,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.6055260740598427,1.5124114965947089,0.0,nan,0.0,0.0,nan,1.6651995372838917,0.0,0.8819692555866498,2.0849455780107604
"8-2009",0.9831685451879146,0.0,0.0,0.0,nan,nan,2.759385860645561,0.0,0.0,nan,0.0,nan,0.0,nan,1.0189533014776022,nan,nan,0.0,0.0,0.0,1.8165782221795281,0.7562057482973544,1.5502239405283682,nan,0.0,0.0,nan,0.0,0.0,0.0,0.5212363945026901
"9-2009",1.5566835298808648,0.9043737921389623,0.5071167610062239,0.44855121807559417,nan,nan,0.0,0.0,0.0,nan,1.759978288463937,nan,0.0,nan,1.0189533014776022,nan,nan,0.0,0.0,0.649171169191532,1.8165782221795281,0.0,0.38755598513209205,nan,0.0,0.5476574947633142,nan,0.0,0.0,1.7639385111732997,2.0849455780107604
"10-2009",1.6386142419798577,0.9043737921389623,1.0142335220124479,0.44855121807559417,nan,nan,0.0,0.0,2.5429798856222736,nan,0.0,nan,2.435067067957159,nan,0.0,nan,nan,0.0,0.0,3.2458558459576596,0.6055260740598427,0.0,0.7751119702641841,nan,0.0,0.0,nan,0.0,0.5294609452920099,0.0,1.0424727890053802
"11-2009",1.3108913935838862,0.0,0.5071167610062239,1.3456536542267825,nan,nan,0.0,0.94539832822175,0.0,nan,2.6399674326959057,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.7562057482973544,0.38755598513209205,nan,0.0,0.5476574947633142,nan,0.0,0.0,2.6459077667599495,0.5212363945026901
"12-2009",1.8844063782768363,0.45218689606948115,1.5213502830186718,0.8971024361511883,nan,nan,0.0,0.472699164110875,0.0,nan,0.8799891442319685,nan,0.0,nan,0.0,nan,nan,0.0,0.0,1.298342338383064,0.6055260740598427,0.0,2.712891895924644,nan,0.0,0.0,nan,0.0,0.5294609452920099,0.8819692555866498,1.5637091835080703
"1-2010",1.2289606814848932,0.45218689606948115,0.5071167610062239,0.0,nan,nan,2.759385860645561,0.472699164110875,0.0,nan,0.8799891442319685,nan,1.2175335339785796,nan,0.0,nan,nan,0.0,0.0,1.298342338383064,0.6055260740598427,0.7562057482973544,0.0,nan,0.0,0.5476574947633142,nan,1.6651995372838917,0.0,0.0,1.0424727890053802
"2-2010",1.2289606814848932,0.45218689606948115,0.5071167610062239,0.44855121807559417,nan,nan,0.0,0.472699164110875,0.0,nan,0.0,nan,1.2175335339785796,nan,0.0,nan,nan,0.0,0.0,0.649171169191532,1.2110521481196854,0.0,1.5502239405283682,nan,0.0,1.0953149895266283,nan,0.0,0.0,0.0,0.5212363945026901
"3-2010",1.0650992572869076,0.0,1.0142335220124479,0.44855121807559417,nan,nan,1.3796929303227805,0.0,0.0,nan,1.759978288463937,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,1.2110521481196854,0.7562057482973544,0.38755598513209205,nan,0.0,0.0,nan,0.0,0.5294609452920099,0.8819692555866498,0.5212363945026901
"4-2010",1.3928221056828791,0.45218689606948115,0.5071167610062239,1.3456536542267825,nan,nan,1.3796929303227805,0.0,0.0,nan,0.8799891442319685,nan,1.2175335339785796,nan,0.0,nan,nan,0.0,0.0,0.0,0.6055260740598427,0.0,0.7751119702641841,nan,0.0,0.5476574947633142,nan,0.0,1.0589218905840199,0.8819692555866498,1.0424727890053802
"5-2010",1.9663370903758293,1.8087475842779246,0.0,3.139858526529159,nan,nan,0.0,0.94539832822175,0.0,nan,0.8799891442319685,nan,0.0,nan,1.0189533014776022,nan,nan,0.0,0.0,0.0,1.2110521481196854,0.0,1.1626679553962762,nan,0.0,1.6429724842899425,nan,0.0,0.0,0.0,0.5212363945026901
"6-2010",1.8844063782768363,0.9043737921389623,2.0284670440248957,0.8971024361511883,nan,nan,0.0,0.0,0.0,nan,0.8799891442319685,nan,0.0,nan,1.0189533014776022,nan,nan,0.0,0.0,2.596684676766128,1.8165782221795281,0.0,0.7751119702641841,nan,0.0,0.0,nan,0.0,0.0,0.8819692555866498,1.5637091835080703
"7-2010",1.0650992572869076,0.45218689606948115,0.5071167610062239,0.0,nan,nan,0.0,0.472699164110875,0.0,nan,0.8799891442319685,nan,1.2175335339785796,nan,1.0189533014776022,nan,nan,0.9800797661793553,0.0,0.0,0.6055260740598427,0.7562057482973544,0.7751119702641841,nan,0.0,0.5476574947633142,nan,0.0,0.0,0.0,0.5212363945026901
"8-2010",0.737376408890936,0.45218689606948115,0.5071167610062239,0.0,nan,nan,0.0,0.472699164110875,0.0,nan,0.0,nan,1.2175335339785796,nan,0.0,nan,nan,0.0,1.9129848064125385,0.0,0.6055260740598427,0.0,0.38755598513209205,nan,0.0,0.5476574947633142,nan,0.0,0.5294609452920099,0.0,0.0
"9-2010",1.2289606814848932,0.0,0.5071167610062239,0.44855121807559417,nan,nan,0.0,0.94539832822175,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.649171169191532,1.2110521481196854,0.0,0.7751119702641841,nan,0.0,0.0,nan,1.6651995372838917,0.0,0.0,2.6061819725134505
"10-2010",1.8024756661778436,1.3565606882084436,1.5213502830186718,2.691307308453565,nan,nan,0.0,0.472699164110875,1.2714899428111368,nan,0.8799891442319685,nan,1.2175335339785796,nan,0.0,nan,nan,0.0,0.0,0.0,0.6055260740598427,0.0,0.7751119702641841,nan,0.0,0.0,nan,0.0,0.0,1.7639385111732997,0.5212363945026901
"11-2010",1.7205449540788507,1.8087475842779246,0.5071167610062239,1.3456536542267825,nan,nan,1.3796929303227805,0.472699164110875,0.0,nan,0.8799891442319685,nan,0.0,nan,1.0189533014776022,nan,nan,0.0,0.0,1.298342338383064,0.0,0.0,1.1626679553962762,nan,0.0,1.0953149895266283,nan,0.0,0.5294609452920099,0.8819692555866498,0.0
"12-2010",1.3928221056828791,0.0,1.0142335220124479,1.3456536542267825,nan,nan,0.0,0.472699164110875,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,1.9601595323587107,1.9129848064125385,0.0,0.6055260740598427,0.7562057482973544,0.38755598513209205,nan,0.0,0.0,nan,0.0,0.0,0.8819692555866498,2.0849455780107604
"1-2011",0.9012378330889218,0.0,1.0142335220124479,0.44855121807559417,nan,nan,0.0,0.0,0.0,nan,0.8799891442319685,nan,0.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.6055260740598427,0.7562057482973544,0.7751119702641841,nan,0.0,0.5476574947633142,nan,0.0,0.0,0.0,1.0424727890053802
"2-2011",1.5566835298808648,0.45218689606948115,0.5071167610062239,0.8971024361511883,nan,nan,1.3796929303227805,1.4180974923326248,0.0,nan,1.759978288463937,nan,0.0,nan,1.0189533014776022,nan,nan,0.0,0.0,0.0,0.0,0.0,0.38755598513209205,nan,0.0,0.5476574947633142,nan,0.0,0.0,2.6459077667599495,1.5637091835080703
