"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"11-2005",21,0,2,2,0,6,1,5,1,4
"12-2005",23,0,1,0,6,5,2,7,0,2
"1-2006",13,1,2,0,1,0,0,7,1,1
"2-2006",6,0,1,0,0,0,0,5,0,0
"3-2006",13,2,1,0,0,1,0,7,0,2
"4-2006",14,0,0,1,5,1,0,6,1,0
"5-2006",16,1,0,0,1,0,1,12,0,1
"6-2006",21,1,2,0,0,4,0,12,0,2
"7-2006",16,2,1,0,2,1,0,10,0,0
"8-2006",14,2,4,1,2,0,0,3,0,2
"9-2006",11,0,2,2,2,1,1,2,0,1
"10-2006",12,0,4,2,3,0,0,3,0,0
"11-2006",12,2,3,0,4,0,0,1,1,1
"12-2006",8,0,5,0,1,0,0,1,1,0
"1-2007",7,1,0,2,2,0,1,1,0,0
"2-2007",7,0,0,2,3,2,0,0,0,0
"3-2007",9,0,0,1,1,4,1,1,0,1
"4-2007",9,2,0,0,4,2,0,0,0,1
"5-2007",12,1,1,0,2,2,0,4,0,2
"6-2007",5,0,0,1,0,0,1,0,1,2
"7-2007",11,0,0,2,2,2,0,1,2,2
"8-2007",19,2,0,2,3,4,2,4,1,1
"9-2007",9,0,0,1,1,3,0,4,0,0
"10-2007",6,1,1,1,1,1,0,1,0,0
"11-2007",10,1,0,2,2,3,1,1,0,0
"12-2007",15,1,2,1,1,4,1,1,1,3
"1-2008",11,1,1,0,3,0,1,5,0,0
"2-2008",9,1,0,0,1,2,0,4,0,1
"3-2008",15,1,2,1,1,2,0,6,0,2
"4-2008",18,1,0,2,4,2,1,2,0,6
"5-2008",9,2,0,0,0,2,1,3,0,1
"6-2008",16,2,2,2,3,3,1,2,0,1
"7-2008",10,4,3,0,1,0,0,1,0,1
"8-2008",15,1,0,2,3,1,2,4,0,2
"9-2008",21,0,3,3,5,4,1,3,1,1
"10-2008",39,2,2,5,2,5,6,10,0,7
"11-2008",33,5,3,3,3,4,3,6,1,5
"12-2008",29,5,3,4,3,1,2,2,4,5
"1-2009",16,0,3,2,4,1,2,3,0,1
"2-2009",15,2,2,1,3,0,2,2,0,3
"3-2009",12,0,2,2,0,3,0,0,1,4
"4-2009",14,3,1,1,2,0,4,3,0,0
"5-2009",8,0,1,3,1,1,0,1,0,1
"6-2009",13,0,1,1,2,5,1,2,1,0
"7-2009",15,0,4,1,1,5,1,1,1,1
"8-2009",9,2,1,1,0,0,1,2,1,1
"9-2009",14,0,3,0,2,2,1,3,1,2
"10-2009",17,0,2,1,2,1,0,8,1,2
"11-2009",15,2,3,1,2,4,1,0,0,2
"12-2009",19,4,3,0,1,4,2,2,2,1
"1-2010",12,0,5,1,1,0,0,2,1,2
"2-2010",10,1,1,0,1,3,1,1,0,2
"3-2010",10,1,1,2,0,1,1,2,2,0
"4-2010",15,1,1,0,4,1,1,6,0,1
"5-2010",17,2,2,0,7,1,2,2,1,0
"6-2010",16,1,2,1,0,2,4,3,0,3
"7-2010",9,2,2,0,0,1,2,0,2,0
"8-2010",5,2,1,0,0,0,0,2,0,0
"9-2010",11,1,0,1,1,1,2,1,0,4
