"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"7-2010",13,0,0,3,2,1,0,3,0,4
"8-2010",9,0,0,3,1,1,2,1,1,0
"9-2010",15,1,2,1,2,4,0,1,1,3
"10-2010",22,0,0,6,7,1,0,2,3,3
"11-2010",21,2,0,6,6,1,3,0,3,0
"12-2010",17,1,0,3,4,4,0,2,2,1
"1-2011",11,0,0,4,2,1,0,2,0,2
"2-2011",19,0,0,6,4,1,0,6,2,0
"3-2011",33,4,0,9,0,3,2,5,8,2
"4-2011",20,1,0,2,2,4,2,5,2,2
"5-2011",20,3,0,4,1,1,2,1,5,3
"6-2011",42,1,0,10,13,1,1,9,5,2
"7-2011",54,2,1,14,7,10,7,4,4,5
"8-2011",67,9,1,23,3,4,14,5,3,5
"9-2011",50,5,1,16,4,3,1,2,12,6
"10-2011",47,2,0,17,5,5,4,0,10,4
"11-2011",54,0,0,14,10,4,3,9,8,6
"12-2011",53,1,0,15,14,2,4,2,11,4
"1-2012",33,1,0,9,5,1,1,4,6,6
"2-2012",33,0,0,9,7,3,1,3,5,5
"3-2012",29,0,1,9,2,2,1,6,6,2
"4-2012",39,1,0,9,7,3,5,5,6,3
"5-2012",43,2,1,15,2,4,3,6,5,5
"6-2012",72,5,0,17,9,5,3,11,15,7
"7-2012",47,1,0,13,7,4,0,8,10,4
"8-2012",49,1,0,9,6,4,6,7,11,5
"9-2012",38,2,0,6,7,1,2,7,11,2
"10-2012",47,0,1,4,13,4,2,11,8,4
"11-2012",39,0,0,12,12,4,2,4,3,2
"12-2012",41,0,0,4,8,5,2,7,3,12
"1-2013",52,1,0,11,12,6,3,7,5,7
"2-2013",22,0,0,1,7,6,2,3,1,2
"3-2013",31,0,1,4,10,1,1,2,6,6
"4-2013",24,0,0,9,7,3,0,1,2,2
"5-2013",29,0,0,7,4,4,1,5,7,1
"6-2013",27,0,0,1,5,1,1,2,15,2
"7-2013",33,1,0,6,4,2,1,5,7,7
"8-2013",23,1,0,5,5,3,0,1,4,4
"9-2013",26,4,0,8,3,2,3,2,2,2
"10-2013",33,0,0,7,7,3,3,3,7,3
"11-2013",33,3,0,2,7,2,0,6,4,9
"12-2013",32,1,0,7,7,2,0,9,3,3
"1-2014",28,0,0,5,3,0,0,1,13,6
"2-2014",22,0,0,7,5,1,1,1,3,4
"3-2014",22,0,0,4,5,5,1,0,7,0
"4-2014",30,0,0,9,3,1,1,6,5,5
"5-2014",21,0,2,0,7,1,1,2,0,8
"6-2014",29,1,0,4,5,4,2,4,4,5
"7-2014",26,0,1,2,7,3,2,2,5,4
"8-2014",32,1,0,4,5,4,3,4,8,3
"9-2014",37,2,0,5,18,2,0,2,3,5
"10-2014",29,2,1,4,12,2,1,0,5,2
"11-2014",33,2,2,4,10,2,1,2,4,6
"12-2014",37,5,0,6,6,2,2,5,5,6
"1-2015",36,1,0,7,9,8,0,0,6,5
"2-2015",29,1,0,4,4,4,2,2,4,8
"3-2015",36,4,0,2,10,3,4,3,3,7
"4-2015",34,2,1,3,7,3,4,5,2,7
"5-2015",21,3,0,5,5,0,1,4,1,2
"6-2015",33,0,0,4,5,7,4,3,3,7
"7-2015",37,2,1,4,6,4,2,8,6,4
"8-2015",38,3,0,6,4,6,3,9,3,4
"9-2015",54,7,0,8,8,10,2,5,7,7
"10-2015",37,1,0,4,6,5,4,3,8,6
"11-2015",26,3,1,4,7,3,1,3,2,2
"12-2015",43,1,1,9,8,6,0,4,10,4
"1-2016",25,3,1,7,4,1,1,2,3,3
"2-2016",35,2,0,6,6,3,4,4,2,8
"3-2016",27,5,0,3,5,4,2,3,2,3
"4-2016",29,3,0,7,6,3,2,2,2,4
"5-2016",28,1,0,2,9,1,1,5,2,7
"6-2016",49,2,0,13,17,4,1,7,1,4
"7-2016",48,2,0,17,7,3,4,7,5,3
"8-2016",36,4,0,5,8,4,3,5,3,4
"9-2016",32,3,0,3,12,1,0,5,4,4
"10-2016",33,0,0,8,9,1,0,5,3,7
"11-2016",39,3,0,6,16,4,2,1,4,3
"12-2016",57,4,0,9,25,5,0,6,2,6
"1-2017",58,2,0,10,15,7,2,11,7,4
"2-2017",44,3,0,5,13,3,2,9,3,6
"3-2017",32,1,0,3,9,3,2,6,3,5
"4-2017",22,0,0,3,11,0,1,2,1,4
"5-2017",48,0,0,8,18,6,1,10,0,5
"6-2017",32,0,0,2,5,7,5,8,2,3
"7-2017",29,1,0,2,7,3,2,5,3,6
"8-2017",30,1,0,2,12,4,1,3,3,4
"9-2017",38,2,0,5,17,6,3,1,0,4
"10-2017",26,1,0,3,10,3,1,2,1,5
"11-2017",25,1,0,2,8,2,1,4,2,5
"12-2017",34,1,0,3,16,0,1,10,0,3
"1-2018",39,1,0,6,19,3,3,0,0,7
"2-2018",24,3,0,4,7,2,2,1,4,1
"3-2018",27,0,0,3,13,2,2,3,4,0
"4-2018",16,1,1,1,4,1,1,4,3,0
"5-2018",42,2,0,4,14,7,3,1,9,2
"6-2018",34,3,1,3,8,5,2,3,6,3
"7-2018",42,3,1,4,13,4,1,4,6,6
"8-2018",24,1,0,7,5,2,1,0,5,3
"9-2018",35,0,0,4,11,3,1,2,11,3
