"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"8-2005",19,3,3,1,2,1,0,0,1,8
"9-2005",26,10,0,5,2,2,0,2,2,3
"10-2005",18,5,2,3,0,1,1,1,1,4
"11-2005",25,4,2,1,1,2,1,5,3,6
"12-2005",27,6,3,2,0,1,1,2,8,4
"1-2006",20,8,1,5,2,1,1,0,0,2
"2-2006",9,5,0,1,2,0,0,1,0,0
"3-2006",17,9,1,1,2,1,0,0,1,2
"4-2006",19,5,1,1,0,3,3,0,5,1
"5-2006",21,12,0,0,4,0,1,0,1,3
"6-2006",24,12,0,2,1,2,1,0,1,5
"7-2006",19,10,0,2,3,0,1,1,1,1
"8-2006",15,2,1,2,3,2,2,1,1,1
"9-2006",14,2,1,1,2,1,1,1,3,2
"10-2006",17,3,0,2,6,2,0,1,3,0
"11-2006",18,2,0,4,5,0,0,1,5,1
"12-2006",10,0,0,2,3,2,1,0,1,1
"1-2007",11,2,0,2,1,1,0,2,2,1
"2-2007",9,1,0,0,2,0,0,1,4,1
"3-2007",12,0,0,0,2,4,1,0,1,4
"4-2007",9,0,0,3,0,1,0,0,3,2
"5-2007",14,3,2,3,1,1,0,1,1,2
"6-2007",8,0,2,0,1,1,1,3,0,0
"7-2007",11,0,2,0,1,0,1,1,2,4
"8-2007",21,4,1,3,2,1,1,3,1,5
"9-2007",11,2,0,1,1,3,0,0,2,2
"10-2007",7,1,0,1,1,1,0,0,2,1
"11-2007",12,0,1,2,1,1,2,0,3,2
"12-2007",17,1,2,4,2,0,1,1,2,4
"1-2008",15,5,0,1,0,4,1,0,3,1
"2-2008",10,0,0,3,0,2,2,1,1,1
"3-2008",15,2,1,2,1,5,1,0,1,2
"4-2008",22,2,2,1,0,3,0,4,8,2
"5-2008",13,2,2,3,0,2,0,1,2,1
"6-2008",23,1,3,3,3,2,4,1,3,3
"7-2008",13,1,1,3,1,2,0,1,4,0
"8-2008",17,4,2,1,1,0,1,2,3,3
"9-2008",28,3,3,7,1,5,1,1,5,2
"10-2008",53,11,4,5,0,8,4,11,4,6
"11-2008",42,5,2,8,3,4,3,8,6,3
"12-2008",36,6,0,7,4,6,1,7,4,1
"1-2009",24,2,2,8,0,2,3,4,3,0
"2-2009",24,2,2,7,1,4,3,1,3,1
"3-2009",14,0,1,1,2,3,1,2,3,1
"4-2009",19,3,0,4,1,3,2,4,2,0
"5-2009",12,1,0,0,4,3,1,0,1,2
"6-2009",19,1,1,2,1,2,2,2,6,2
"7-2009",17,1,0,1,2,7,1,1,2,2
"8-2009",12,2,1,1,1,2,1,2,2,0
"9-2009",19,2,3,3,1,5,1,1,1,2
"10-2009",20,3,4,2,0,4,2,1,3,1
"11-2009",16,0,0,3,0,4,0,1,5,3
"12-2009",23,1,4,4,2,3,0,5,2,2
"1-2010",15,3,4,3,2,0,1,1,1,0
"2-2010",15,0,1,1,2,3,1,4,1,2
"3-2010",13,2,0,2,3,1,0,4,0,1
"4-2010",17,5,0,1,1,3,0,1,4,2
"5-2010",24,4,0,3,2,4,0,2,7,2
"6-2010",23,0,5,2,3,9,1,2,0,1
"7-2010",13,0,0,2,4,3,0,3,0,1
"8-2010",9,3,0,2,1,2,1,0,0,0
"9-2010",15,1,0,0,2,3,0,4,2,3
"10-2010",22,0,1,1,1,6,0,3,7,3
"11-2010",21,2,3,3,1,4,0,1,5,2
"12-2010",17,5,0,0,1,2,2,2,3,2
"1-2011",11,0,0,3,1,4,1,1,0,1
"2-2011",19,0,2,0,1,6,0,0,3,7
"3-2011",33,4,4,0,1,12,2,4,1,5
"4-2011",20,2,3,1,1,4,1,1,1,6
"5-2011",20,2,5,2,1,5,1,1,2,1
"6-2011",42,2,3,3,3,12,1,1,9,8
"7-2011",54,12,7,3,2,13,3,3,5,6
"8-2011",67,16,8,7,1,23,1,4,2,5
"9-2011",50,1,13,4,3,20,4,4,0,1
"10-2011",47,7,7,3,0,16,2,8,3,1
"11-2011",54,5,4,3,5,15,2,7,7,6
"12-2011",53,7,5,6,5,16,2,5,7,0
"1-2012",33,1,5,7,1,11,1,3,3,1
"2-2012",33,1,3,0,3,9,3,3,9,2
"3-2012",29,0,4,4,2,10,2,2,2,3
"4-2012",39,9,4,4,11,6,0,3,2,0
"5-2012",43,3,7,2,3,15,3,4,3,3
"6-2012",72,4,12,7,6,18,2,7,8,8
"7-2012",47,1,10,3,3,15,1,3,5,6
"8-2012",49,8,5,5,4,11,2,7,4,3
"9-2012",38,3,6,8,6,7,1,2,3,2
"10-2012",47,5,4,4,6,6,1,5,10,6
"11-2012",39,3,1,15,1,8,0,3,5,3
"12-2012",41,2,4,5,1,6,1,10,7,5
"1-2013",52,4,2,8,6,13,2,3,10,4
"2-2013",22,2,1,3,1,3,0,1,6,5
"3-2013",31,4,4,5,2,2,2,2,9,1
"4-2013",24,1,1,5,1,7,1,3,4,1
"5-2013",29,1,5,1,4,9,0,4,2,3
"6-2013",27,2,15,2,2,1,0,1,3,1
"7-2013",33,2,5,4,1,4,1,10,3,3
"8-2013",23,1,3,5,3,5,0,4,1,1
"9-2013",26,4,5,5,3,5,1,1,1,1
"10-2013",33,4,7,4,1,8,0,1,6,2
"11-2013",33,0,3,4,6,4,2,7,4,3
"12-2013",32,0,1,9,3,7,0,5,4,3
"1-2014",28,0,9,2,3,5,1,6,1,1
"2-2014",22,1,5,3,3,5,0,1,4,0
"3-2014",22,1,8,3,0,4,0,1,2,3
"4-2014",30,1,4,3,5,8,0,3,1,5
"5-2014",21,1,0,4,4,0,1,5,5,1
"6-2014",29,4,3,3,1,5,1,5,5,2
"7-2014",26,5,1,2,5,3,1,5,4,0
"8-2014",32,3,6,2,1,5,0,7,3,5
"9-2014",37,0,5,3,2,7,0,3,11,6
"10-2014",29,2,5,2,1,5,2,2,9,1
"11-2014",33,1,2,3,6,4,1,4,7,5
"12-2014",37,4,5,2,4,7,4,6,4,1
"1-2015",36,1,4,5,1,8,2,4,4,7
"2-2015",29,3,1,7,0,7,1,6,1,3
"3-2015",36,4,6,11,1,5,2,3,2,2
"4-2015",34,4,3,3,6,5,1,5,5,2
"5-2015",21,2,1,2,0,5,0,1,7,3
"6-2015",33,4,1,8,3,5,0,4,4,4
"7-2015",37,2,4,4,1,7,0,4,4,11
"8-2015",38,3,2,4,5,5,1,3,2,13
"9-2015",54,5,7,6,2,11,2,5,4,12
"10-2015",37,5,5,3,1,5,0,9,4,5
"11-2015",26,3,1,4,1,5,0,2,5,5
"12-2015",43,0,10,3,5,10,0,3,7,5
"1-2016",25,1,4,0,1,9,0,3,5,2
"2-2016",35,5,2,3,2,6,0,10,2,5
"3-2016",27,3,1,5,1,7,0,2,5,3
"4-2016",29,1,1,4,3,10,0,3,5,2
"5-2016",28,1,2,6,5,3,1,3,6,1
"6-2016",49,2,0,11,2,11,2,3,11,7
"7-2016",48,4,3,6,3,17,1,4,5,5
"8-2016",36,4,3,9,2,9,0,2,3,4
"9-2016",32,0,4,12,1,5,0,3,6,1
"10-2016",33,2,2,8,3,4,0,5,4,5
"11-2016",39,4,3,5,6,4,0,4,12,1
"12-2016",57,2,3,12,3,9,1,6,12,9
"1-2017",58,2,2,10,2,14,4,3,10,11
"2-2017",44,2,3,13,6,7,1,3,5,4
"3-2017",32,4,1,6,1,4,3,4,4,5
"4-2017",22,1,1,7,3,2,1,1,6,0
"5-2017",48,2,1,12,7,5,0,6,9,6
"6-2017",32,7,1,4,4,2,1,1,2,10
"7-2017",29,2,1,9,1,2,0,5,4,5
"8-2017",30,2,2,7,1,4,0,3,7,4
"9-2017",38,4,1,12,4,2,0,4,7,4
"10-2017",26,1,0,7,2,3,2,1,7,3
"11-2017",25,2,0,14,0,3,0,2,3,1
"12-2017",34,2,0,11,3,2,1,1,10,4
"1-2018",39,3,0,11,3,7,0,4,10,1
"2-2018",24,2,4,5,4,3,1,1,3,1
"3-2018",27,3,2,8,2,1,0,6,5,0
"4-2018",16,1,1,7,0,2,1,2,1,1
"5-2018",42,3,14,10,0,4,0,2,6,3
"6-2018",34,4,6,6,2,3,2,1,6,4
"7-2018",42,1,3,9,1,7,2,7,9,3
"8-2018",24,1,3,4,2,6,1,0,6,1
"9-2018",35,1,11,1,4,4,1,4,9,0
