"newspaper","date","epu_uruguay","eu_uruguay","pol_impositiva","pol_gasto_gub","pol_fiscal","pol_monetaria","pol_salud","pol_seguridad_nacional","pol_regulacion_financiera","pol_regulacion","pol_deuda_crisis","pol_prog_derechos","pol_comercial"
"EPU Final","12-2005",88.75321348222303,89.53451804925784,45.127325451466554,44.45578001848046,28.27994867968504,86.31114633148873,234.45922098946116,103.35753189418641,28.199453552960183,178.3499927788241,61.086612504647654,82.90765730545418,82.89581067613281
"EPU Final","01-2006",89.9869049206513,82.21500662293195,102.94786427603573,135.22117879701332,38.230729204480184,96.722565325643,59.42956541842433,69.86281796063841,57.182865749256955,22.60363767842824,95.71885762268435,78.26284621159404,98.05609657520206
"EPU Final","02-2006",64.91007470046904,57.390954965665394,35.931860162554706,78.66034135690035,20.015488791557903,33.75904605972072,62.228046666723415,109.7288865999924,59.87555206450449,47.33604260396872,41.269598111794956,72.84281652722946,161.34401507169684
"EPU Final","03-2006",73.09275596058863,67.68238630845839,101.70051535508215,118.74026326960855,47.20939198008811,91.00061342661851,117.41899597210494,69.01633793688269,0.0,111.64882423553206,55.622998609019746,65.86057563232,69.19144132902846
"EPU Final","04-2006",95.86674803817642,98.17839121736112,47.68460465259354,62.63333869952082,79.68671805211635,115.20282173547886,247.74557650356354,0.0,208.58223846586654,141.34255925377624,70.41629887819322,93.64766016254525,145.98892946797994
"EPU Final","05-2006",99.94458949094724,94.16619705236886,91.47181619913124,165.20278966137403,57.32265854157654,110.4949009453081,178.2158361423775,17.458566891267015,114.31899437898039,135.56640235742248,101.307960850298,89.82062051552663,210.0343384519916
"EPU Final","06-2006",79.99381058431821,77.0818209453673,66.73001446656383,125.21332702536233,71.68750193419308,84.44608883432305,297.1680756663699,58.222982191387224,71.48345295878153,94.18824150159365,70.38630897236774,77.30190546626145,105.06726259462147
"EPU Final","07-2006",78.5611933120112,80.45554615472996,68.38428507659387,76.99045701524548,48.976447434091405,82.60593393384177,152.2675108381277,89.49953879105526,244.18521233010213,38.60928614625382,67.32247289745324,74.26711740904679,59.81774047858745
"EPU Final","08-2006",75.88995375206953,74.28810720343243,72.3504220389231,54.30382191642977,43.180810691798364,83.23513810281028,53.699562989828564,63.12687577824955,103.33896536585334,102.12134791547004,45.78880314013284,81.19359379441953,151.88888842025074
"EPU Final","09-2006",70.17630143022895,63.1135824694154,50.17744221648003,79.08919257233251,50.31152993229476,72.73521053080225,0.0,45.96963398450184,25.08416241439787,59.492644650038166,49.398330185054846,78.83466944099487,86.02769448455675
