"newspaper","date","epu_news_rel","eu_news_rel","pol_impositiva_rel","pol_gasto_gub_rel","pol_fiscal_rel","pol_monetaria_rel","pol_salud_rel","pol_seguridad_nacional_rel","pol_regulacion_financiera_rel","pol_regulacion_rel","pol_deuda_crisis_rel","pol_prog_derechos_rel","pol_comercial_rel"
"el_observador","11-2006",0.012893439514599925,0.01478953356086462,0.0030337504740235114,0.0018960940462646946,0.0015168752370117557,0.004550625711035267,0.0011376564277588168,0.0015168752370117557,0.0,0.0022753128555176336,0.0034129692832764505,0.007963594994311717,0.0037921880925293893
"el_observador","12-2006",0.011805026656511805,0.015613099771515614,0.001904036557501904,0.0007616146230007616,0.0007616146230007616,0.00456968773800457,0.0,0.0015232292460015233,0.0003808073115003808,0.0015232292460015233,0.0015232292460015233,0.007616146230007616,0.004188880426504189
"el_observador","01-2007",0.009025949605114705,0.011658518239939826,0.0011282437006393381,0.000752162467092892,0.0011282437006393381,0.00376081233546446,0.0,0.0011282437006393381,0.000752162467092892,0.001504324934185784,0.001504324934185784,0.005641218503196691,0.00188040616773223
"el_observador","02-2007",0.010229132569558102,0.012274959083469721,0.0008183306055646482,0.0012274959083469722,0.0012274959083469722,0.004091653027823241,0.0012274959083469722,0.0008183306055646482,0.0004091653027823241,0.0008183306055646482,0.0020458265139116204,0.007364975450081833,0.0012274959083469722
"el_observador","03-2007",0.012082444918265814,0.014925373134328358,0.0014214641080312722,0.0017768301350390902,0.0007107320540156361,0.005330490405117271,0.0014214641080312722,0.0,0.00035536602700781805,0.0007107320540156361,0.0021321961620469083,0.009594882729211088,0.0024875621890547263
"el_observador","04-2007",0.011732499022291749,0.014078998826750098,0.0011732499022291747,0.0,0.0023464998044583495,0.005475166210402816,0.001564333202972233,0.0011732499022291747,0.00039108330074305825,0.00039108330074305825,0.0019554165037152915,0.00899491591709034,0.001564333202972233
"el_observador","05-2007",0.010596546310832025,0.011773940345368918,0.0027472527472527475,0.002354788069073783,0.0027472527472527475,0.003924646781789639,0.0003924646781789639,0.0007849293563579278,0.0,0.0003924646781789639,0.0031397174254317113,0.0066718995290423865,0.0007849293563579278
"el_observador","06-2007",0.009130752373995616,0.011322132943754566,0.0018261504747991235,0.0007304601899196494,0.0014609203798392988,0.004747991234477721,0.001095690284879474,0.0003652300949598247,0.0007304601899196494,0.0007304601899196494,0.001095690284879474,0.005113221329437546,0.0003652300949598247
"el_observador","07-2007",0.01070901033973412,0.014032496307237814,0.0029542097488921715,0.0014771048744460858,0.0014771048744460858,0.0051698670605613,0.00036927621861152144,0.001846381093057607,0.0007385524372230429,0.0007385524372230429,0.0022156573116691287,0.008493353028064993,0.0011078286558345643
"el_observador","08-2007",0.014095238095238095,0.017904761904761906,0.0019047619047619048,0.0007619047619047619,0.0007619047619047619,0.007238095238095238,0.0015238095238095239,0.0015238095238095239,0.0007619047619047619,0.0007619047619047619,0.0026666666666666666,0.008761904761904762,0.0019047619047619048
